"cid","clust"
"CID_10074640",1
"CID_10090485",1
"CID_10113978",1
"CID_10126189",2
"CID_10127622",1
"CID_10152654",3
"CID_10184653",1
"CID_10206",4
"CID_10207",3
"CID_10235",4
"CID_10288191",1
"CID_10296883",5
"CID_10302451",1
"CID_10331844",3
"CID_10366136",1
"CID_104741",6
"CID_104838",7
"CID_108143",3
"CID_1115",8
"CID_11167602",1
"CID_11213558",1
"CID_1123",9
"CID_11273",6
"CID_11282283",1
"CID_11315474",2
"CID_11387605",1
"CID_11485656",2
"CID_11494412",4
"CID_11511120",1
"CID_11520894",6
"CID_115355",4
"CID_11538455",1
"CID_11539025",1
"CID_11542188",4
"CID_11556711",4
"CID_11625818",1
"CID_11626560",1
"CID_11671467",1
"CID_11683",6
"CID_11707110",4
"CID_11719003",1
"CID_1174",2
"CID_11749858",3
"CID_1183",3
"CID_11955716",5
"CID_11960529",4
"CID_123631",1
"CID_126941",2
"CID_132519",3
"CID_134780",4
"CID_135398510",1
"CID_135401907",2
"CID_135410875",2
"CID_135564890",2
"CID_135564985",1
"CID_148121",2
"CID_148177",10
"CID_159324",5
"CID_15951529",4
"CID_16007391",1
"CID_160355",3
"CID_16049404",3
"CID_16123056",2
"CID_16126651",4
"CID_16222096",4
"CID_16362",4
"CID_16722836",1
"CID_17589822",3
"CID_176167",5
"CID_176873",4
"CID_17755052",1
"CID_190",2
"CID_1923",2
"CID_1979",7
"CID_19910",2
"CID_204",7
"CID_2082",3
"CID_208908",1
"CID_2123",2
"CID_2141",9
"CID_2145",6
"CID_2153",11
"CID_216239",1
"CID_216326",4
"CID_2170",5
"CID_2179",3
"CID_2187",11
"CID_2202",3
"CID_222528",12
"CID_222786",6
"CID_2236",3
"CID_2244",3
"CID_2265",11
"CID_2333",3
"CID_23725625",1
"CID_2391",3
"CID_240767",6
"CID_24360",4
"CID_2453",2
"CID_24748573",1
"CID_24756910",1
"CID_24765037",1
"CID_24771867",1
"CID_24775005",1
"CID_24776445",2
"CID_2478",13
"CID_2482",2
"CID_24826799",1
"CID_24849132",6
"CID_24889392",1
"CID_24958200",4
"CID_25102847",1
"CID_25117126",2
"CID_25126798",1
"CID_25127713",1
"CID_25141092",1
"CID_25145656",1
"CID_25151352",1
"CID_25166913",11
"CID_25167777",1
"CID_25171648",1
"CID_25183872",5
"CID_25429",3
"CID_2577",4
"CID_2578",14
"CID_260535",4
"CID_2662",2
"CID_2708",14
"CID_2722",5
"CID_2723601",2
"CID_2726",5
"CID_2756",2
"CID_2758",15
"CID_2788",5
"CID_2799",5
"CID_2812",5
"CID_285033",4
"CID_288216",4
"CID_2907",14
"CID_2950",3
"CID_2955",2
"CID_3009",16
"CID_3011155",4
"CID_30323",4
"CID_3037",5
"CID_3062316",1
"CID_3081361",1
"CID_3100",3
"CID_3108",5
"CID_3117",17
"CID_3121",16
"CID_31307",6
"CID_3151",5
"CID_316426",16
"CID_3168",4
"CID_3198",5
"CID_3229",4
"CID_323",3
"CID_3278",3
"CID_3334",3
"CID_33630",5
"CID_3366",2
"CID_3372",5
"CID_3385",2
"CID_3516",3
"CID_3559",5
"CID_35802",3
"CID_3598",5
"CID_3599",10
"CID_3610",3
"CID_3657",9
"CID_3672",16
"CID_3681",8
"CID_3686",3
"CID_3690",14
"CID_3728",2
"CID_387447",3
"CID_3899",2
"CID_3902",11
"CID_392622",3
"CID_394397",2
"CID_3950",14
"CID_3957",5
"CID_400769",6
"CID_4030",3
"CID_4033",14
"CID_4055",3
"CID_4078",4
"CID_40854",3
"CID_4114",3
"CID_4122",3
"CID_41684",2
"CID_4189",5
"CID_4211",5
"CID_4212",3
"CID_42574",5
"CID_4261",2
"CID_42611257",1
"CID_42642645",1
"CID_42642648",1
"CID_441276",4
"CID_44187362",2
"CID_4421",2
"CID_44462760",1
"CID_444795",6
"CID_44480399",3
"CID_444972",16
"CID_445154",3
"CID_445354",6
"CID_445639",16
"CID_445858",3
"CID_44595079",1
"CID_446155",3
"CID_4463",1
"CID_44631912",4
"CID_446541",4
"CID_448013",6
"CID_4485",4
"CID_448537",3
"CID_4499",4
"CID_452548",4
"CID_4534",3
"CID_460612",14
"CID_4614",3
"CID_46188928",4
"CID_46213929",1
"CID_46216796",1
"CID_46220502",1
"CID_4632",3
"CID_46843057",1
"CID_46883536",1
"CID_46926350",4
"CID_47318",2
"CID_4735",3
"CID_47472",5
"CID_4748",5
"CID_4912",3
"CID_4947",3
"CID_49803313",4
"CID_49806720",4
"CID_49836020",4
"CID_49846579",1
"CID_49848070",1
"CID_49855250",3
"CID_49867926",2
"CID_49867936",5
"CID_4993",5
"CID_5035",1
"CID_50515",3
"CID_5073",4
"CID_5090",3
"CID_50905713",1
"CID_51042438",1
"CID_5155",4
"CID_5280343",3
"CID_5280443",3
"CID_5280460",3
"CID_5280567",3
"CID_5280961",3
"CID_5281078",4
"CID_5281605",3
"CID_5281855",3
"CID_5287969",5
"CID_5288209",6
"CID_5291",1
"CID_5311",3
"CID_53232",6
"CID_5327711",5
"CID_5328940",1
"CID_5329099",3
"CID_5329102",3
"CID_5330286",4
"CID_53340666",3
"CID_53358942",1
"CID_5337997",3
"CID_5340",2
"CID_5394",2
"CID_5405",4
"CID_5426",4
"CID_5430",2
"CID_54454",6
"CID_5453",15
"CID_54676228",3
"CID_54676860",8
"CID_54684141",3
"CID_5469318",3
"CID_54758501",1
"CID_5482",5
"CID_5494449",1
"CID_5564",5
"CID_5634",16
"CID_56599306",1
