"ids" "roc_1" "roc_2" "roc_3" "roc_4" "roc_5" "roc_6" "roc_7" "roc_8" "roc_9" "roc_10" "roc_11" "roc_12" "roc_13" "roc_14" "roc_15" "roc_16" "roc_17" "roc_18" "roc_19" "roc_20" "roc_30" "roc_40" "roc_50" "roc_60" "roc_70" "roc_80" "roc_90" "roc_100" "roc_110" "roc_120" "roc_130" "roc_140" "roc_150" "roc_160" "roc_170" "roc_180" "roc_190" "roc_200"
1 0.813223938223938 0.795366795366795 0.810328185328185 0.803812741312741 0.78957528957529 0.806708494208494 0.806467181467181 0.812982625482625 0.809121621621622 0.80984555984556 0.813223938223938 0.814671814671815 0.814913127413127 0.817567567567568 0.818050193050193 0.818774131274131 0.831081081081081 0.830839768339768 0.833494208494209 0.837596525096525 0.887789575289575 0.909507722007722 0.893581081081081 0.894787644787645 0.900820463320463 0.903474903474903 0.909749034749035 0.908783783783784 0.910714285714286 0.9128861003861 0.919160231660232 0.917953667953668 0.904198841698842 0.924227799227799 0.927364864864865 0.927123552123552 0.92953667953668 0.930984555984556
2 0.957093425605536 0.957247212610534 0.957093425605536 0.952633602460592 0.948481353325644 0.942176086120723 0.970088427527874 0.970780469050365 0.972702806612841 0.968166089965398 0.960707420222991 0.960322952710496 0.960399846212995 0.961476355247982 0.972472126105344 0.975009611687812 0.97362552864283 0.973702422145329 0.973702422145329 0.974009996155325 0.977316416762784 0.976701268742791 0.980853517877739 0.9840061514802 0.987081891580161 0.986851211072664 0.987389465590158 0.987697039600154 0.989465590157632 0.992925797770088 0.995617070357555 0.995847750865052 0.996078431372549 0.999769319492503 0.999769319492503 0.999769319492503 0.999769319492503 0.999769319492503
3 0.780432309442548 0.75028441410694 0.775881683731513 0.662116040955631 0.667804323094426 0.681266590822905 0.680508153204399 0.685248388320061 0.685248388320061 0.643723928706864 0.650739476678043 0.669510807736064 0.680697762609025 0.665149791429655 0.652066742510429 0.652445961319681 0.655858930602958 0.660409556313993 0.674440652256352 0.680697762609025 0.856276071293136 0.93230944254835 0.972506636329162 0.983124762988244 0.984072810011377 0.986537732271521 0.986727341676147 0.986727341676147 0.9871065604854 0.989192263936291 0.990519529768677 0.992794842624194 0.994311717861206 0.995638983693591 0.989381873340918 0.989571482745544 0.988433826317785 0.981797497155859
4 0.806818181818182 0.779220779220779 0.776785714285714 0.783279220779221 0.787337662337662 0.786525974025974 0.793019480519481 0.789772727272727 0.79788961038961 0.816558441558441 0.825487012987013 0.832792207792208 0.833603896103896 0.849025974025974 0.834415584415584 0.843344155844156 0.82711038961039 0.843344155844156 0.847402597402597 0.852272727272727 0.859577922077922 0.849837662337662 0.853084415584416 0.853896103896104 0.861201298701299 0.872564935064935 0.87987012987013 0.883116883116883 0.891233766233766 0.893668831168831 0.900162337662338 0.905844155844156 0.954545454545455 0.954545454545455 0.956168831168831 0.956980519480519 0.956980519480519 0.958603896103896
5 0.801049868766404 0.794750656167979 0.732808398950131 0.739632545931759 0.743832020997375 0.73490813648294 0.706561679790026 0.710236220472441 0.723359580052493 0.722834645669291 0.715485564304462 0.744356955380577 0.746456692913386 0.751181102362205 0.722309711286089 0.729133858267716 0.729658792650919 0.708661417322835 0.721259842519685 0.726509186351706 0.718110236220472 0.73753280839895 0.742257217847769 0.724409448818898 0.754855643044619 0.77742782152231 0.802099737532808 0.959580052493438 0.963779527559055 0.966404199475066 0.97007874015748 0.979002624671916 0.981627296587926 0.988451443569554 0.988976377952756 0.989501312335958 1 1
6 0.766206896551724 0.665057471264368 0.85632183908046 0.900459770114942 0.903218390804598 0.890804597701149 0.865287356321839 0.884827586206897 0.886436781609195 0.873793103448276 0.879540229885057 0.908735632183908 0.910344827586207 0.91264367816092 0.915402298850575 0.917241379310345 0.919770114942529 0.933793103448276 0.934712643678161 0.939310344827586 0.954942528735632 0.957241379310345 0.964137931034483 0.957931034482759 0.959540229885057 0.957241379310345 0.958850574712644 0.957701149425287 0.979080459770115 0.979310344827586 0.991724137931035 0.992183908045977 0.991724137931035 0.991494252873563 0.991494252873563 0.997011494252874 0.997011494252874 0.996551724137931
7 0.930555555555556 0.951967592592593 0.956018518518518 0.962384259259259 0.966435185185185 0.968171296296296 0.964699074074074 0.961805555555556 0.959490740740741 0.959490740740741 0.964699074074074 0.965856481481482 0.965856481481482 0.966435185185185 0.975115740740741 0.973958333333333 0.977430555555556 0.977430555555556 0.977430555555556 0.979166666666667 0.984953703703704 0.986111111111111 0.988425925925926 0.990740740740741 0.991319444444444 0.987847222222222 0.987847222222222 0.990162037037037 0.983217592592593 0.983217592592593 0.973958333333333 0.979166666666667 0.97974537037037 0.977430555555556 0.981481481481482 0.981481481481482 0.982060185185185 0.980902777777778
8 0.787598204264871 0.764590347923681 0.758978675645342 0.930976430976431 0.933501683501683 0.921436588103255 0.927890011223345 0.927890011223345 0.928170594837261 0.929573512906846 0.929292929292929 0.930415263748597 0.934343434343434 0.935465768799102 0.936026936026936 0.931537598204265 0.922558922558923 0.922839506172839 0.923961840628507 0.915544332210999 0.874579124579125 0.835297418630752 0.795735129068462 0.794893378226712 0.797699214365881 0.813692480359147 0.911335578002245 0.90993265993266 0.916947250280584 0.914141414141414 0.990179573512907 0.97699214365881 0.979236812570146 0.978956228956229 0.981762065095398 0.982884399551066 0.9834455667789 0.983164983164983
9 0.585338680926916 0.656565656565657 0.677436125965538 0.683600713012478 0.860888294711824 0.860516934046346 0.883169934640523 0.963978015448604 0.977718360071301 0.982174688057041 0.976455733808675 0.976010101010101 0.975490196078431 0.975415923945336 0.975564468211527 0.975787284610814 0.97756981580511 0.977421271538919 0.978386809269162 0.978683897801545 0.977198455139632 0.976084373143197 0.97704991087344 0.977198455139632 0.978163992869875 0.979352346999406 0.980020796197267 0.980837789661319 0.981134878193702 0.981283422459893 0.981877599524658 0.982694592988711 0.983177361853832 0.983808674985146 0.984514260249554 1 1 1
10 0.778214717146015 0.732413190428458 0.766044670624823 0.726398848536253 0.747564705579973 0.783547947670085 0.781453208934125 0.788264322615468 0.788945433983602 0.77869020998792 0.696494204127792 0.665947001824864 0.648173850463927 0.654265299303467 0.655987354460637 0.765466368519804 0.701390495283625 0.726296039273138 0.724059937800396 0.759554835890714 0.678438327293289 0.704294856966613 0.718572493381654 0.814763410183257 0.810728146606009 0.826412984809931 0.736043642532192 0.752833680314596 0.78021949777675 0.765427815046136 0.783592926722698 0.792408821034775 0.778844423882592 0.780849204513327 0.783798545248927 0.786298095458401 0.789819312720076 0.797305112190608
