"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_30" "nef_40" "nef_50" "nef_60" "nef_70" "nef_80" "nef_90" "nef_100" "nef_110" "nef_120" "nef_130" "nef_140" "nef_150" "nef_160" "nef_170" "nef_180" "nef_190" "nef_200"
1 0.682480784521601 0.603100980652001 0.603100980652001 0.603100980652001 0.603100980652001 0.603100980652001 0.603100980652001 0.603100980652001 0.603100980652001 0.682480784521601 0.682480784521601 0.682480784521601 0.682480784521601 0.682480784521601 0.682480784521601 0.682480784521601 0.682480784521601 0.682480784521601 0.761860588391201 0.761860588391201 0.682480784521601 0.761860588391201 0.682480784521601 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.761860588391201 0.9206201961304 0.9206201961304 0.9206201961304 0.9206201961304 0.9206201961304
2 0.836647727272727 0.836647727272727 0.901988636363636 0.836647727272727 0.836647727272727 0.836647727272727 0.771306818181818 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.836647727272727 0.869318181818182 0.869318181818182 0.869318181818182 0.967329545454545 1 1 1 1 1 1 1 1 1 1 1
3 0.567497403946002 0.567497403946002 0.567497403946002 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.567497403946002 0.567497403946002 0.567497403946002 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.505711318795431 0.567497403946002 0.752855659397715 0.814641744548287 0.876427829698858 0.938213914849429 0.876427829698858 0.876427829698858 0.876427829698858 0.876427829698858 1 1 1 1 1 1 1 1
4 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 0.722122302158273 1 1 1 1 1 1 1 1 1 1 1
5 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.444250871080139 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.629500580720093 0.814750290360046 0.814750290360046 0.814750290360046 0.814750290360046 0.814750290360046 0.814750290360046 0.814750290360046 0.814750290360046 0.814750290360046 1 1 1 1 1 1 1
6 0.667082294264339 0.667082294264339 0.667082294264339 0.722568578553616 0.722568578553616 0.778054862842893 0.722568578553616 0.722568578553616 0.722568578553616 0.778054862842893 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.83354114713217 0.722568578553616 0.722568578553616 0.722568578553616 0.722568578553616 0.722568578553616 0.722568578553616 0.778054862842893 0.778054862842893 0.722568578553616 0.722568578553616 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 1 1
7 0.814779270633397 0.814779270633397 0.814779270633397 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 0.537037037037037 0.537037037037037 0.537037037037037 0.537037037037037 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.814814814814815 0.814814814814815 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 1 1 1
9 0.537037037037037 0.552469135802469 0.552469135802469 0.552469135802469 0.552469135802469 0.567901234567901 0.583333333333333 0.552469135802469 0.552469135802469 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568 0.984567901234568
10 0.641741845940319 0.622549444829979 0.622549444829979 0.641741845940319 0.616151977793199 0.609754510756419 0.616151977793199 0.590562109646079 0.584164642609299 0.577767175572519 0.577767175572519 0.584164642609299 0.635344378903539 0.628946911866759 0.628946911866759 0.616151977793199 0.622549444829979 0.622549444829979 0.596959576682859 0.609754510756419 0.628946911866759 0.622549444829979 0.686524115197779 0.692921582234559 0.692921582234559 0.692921582234559 0.718511450381679 0.724908917418459 0.731306384455239 0.756896252602359 0.756896252602359 0.76329371963914 0.76329371963914 0.76969118667592 0.78248612074948 0.80167852185982 0.80167852185982 0.8080759888966
11 0.675984848484849 0.768560606060606 0.768560606060606 0.768560606060606 0.722272727272727 0.722272727272727 0.722272727272727 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.768560606060606 0.814848484848485 0.814848484848485 0.861136363636364 0.907424242424242 0.907424242424242 0.953712121212121 1 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121 0.953712121212121 1 1 1 1 1 1 1 1
12 0.77763923524522 0.76528585942551 0.7529324836058 0.80234598688464 0.77763923524522 0.77763923524522 0.78999261106493 0.81469936270435 0.82705273852406 0.80234598688464 0.81469936270435 0.81469936270435 0.82705273852406 0.81469936270435 0.95058649672116 0.96293987254087 0.96293987254087 0.95058649672116 0.92587974508174 0.93823312090145 0.93823312090145 0.95058649672116 0.95058649672116 0.96293987254087 0.96293987254087 0.97529324836058 0.98764662418029 1 1 1 1 1 1 1 1 1 1 1
13 0.566114994517544 0.652891995614035 0.70495819627193 0.722313596491228 0.635536595394737 0.652891995614035 0.70495819627193 0.70495819627193 0.687602796052632 0.687602796052632 0.70495819627193 0.70495819627193 0.70495819627193 0.70495819627193 0.70495819627193 0.70495819627193 0.670247395833333 0.670247395833333 0.670247395833333 0.670247395833333 0.652891995614035 0.687602796052632 0.687602796052632 0.635536595394737 0.635536595394737 0.635536595394737 0.635536595394737 0.635536595394737 0.670247395833333 0.652891995614035 0.687602796052632 0.739668996710526 0.739668996710526 0.739668996710526 0.739668996710526 0.739668996710526 0.757024396929824 0.739668996710526
14 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.653000641848524 0.583600770218229 0.514200898587933 0.653000641848524 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.722400513478819 0.653000641848524 0.722400513478819
15 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.603250478011472 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883 0.761950286806883
16 0.633836951477337 0.633836951477337 0.647398545867065 0.647398545867065 0.701644923425978 0.728768112205435 0.68808332903625 0.68808332903625 0.701644923425978 0.728768112205435 0.728768112205435 0.783014489764348 0.796576084154076 0.728768112205435 0.728768112205435 0.633836951477337 0.633836951477337 0.701644923425978 0.701644923425978 0.633836951477337 0.674521734646522 0.68808332903625 0.647398545867065 0.68808332903625 0.728768112205435 0.755891300984892 0.755891300984892 0.755891300984892 0.755891300984892 0.76945289537462 0.891507244882174 0.891507244882174 0.837260867323261 0.932192028051359 0.945753622441087 0.945753622441087 0.945753622441087 0.945753622441087
17 0.646399055489965 0.646399055489965 0.696913476134255 0.696913476134255 0.696913476134255 0.696913476134255 0.696913476134255 0.696913476134255 0.595884634845674 0.646399055489965 0.646399055489965 0.646399055489965 0.646399055489965 0.696913476134255 0.646399055489965 0.646399055489965 0.646399055489965 0.646399055489965 0.646399055489965 0.646399055489965 0.646399055489965 0.646399055489965 0.797942317422837 0.797942317422837 0.797942317422837 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.747427896778546 0.797942317422837 0.797942317422837 0.797942317422837 0.797942317422837 0.797942317422837
18 0.700908215219485 0.700908215219485 0.700908215219485 0.700908215219485 0.700908215219485 0.700908215219485 0.658180817393698 0.658180817393698 0.700908215219485 0.700908215219485 0.743635613045273 0.743635613045273 0.829090408696849 0.700908215219485 0.786363010871061 0.871817806522637 0.871817806522637 0.871817806522637 0.871817806522637 0.871817806522637 0.871817806522637 0.829090408696849 0.871817806522637 0.829090408696849 0.871817806522637 0.871817806522637 0.871817806522637 0.871817806522637 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424 0.914545204348424
19 0.530272009359462 0.572974553963147 0.615677098566832 0.615677098566832 0.658379643170518 0.658379643170518 0.658379643170518 0.658379643170518 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.615677098566832 0.572974553963147 0.615677098566832 0.615677098566832 0.615677098566832 0.658379643170518 0.615677098566832 0.658379643170518 0.829189821585259 0.658379643170518 0.658379643170518 0.701082187774203 0.658379643170518 0.658379643170518 0.658379643170518 0.871892366188944 0.957297455396315 0.957297455396315 0.957297455396315 0.957297455396315
20 0.76173001310616 0.788204456094364 0.867627785058978 0.867627785058978 0.867627785058978 0.867627785058978 0.867627785058978 0.867627785058978 0.814678899082569 0.814678899082569 0.841153342070773 0.841153342070773 0.841153342070773 0.841153342070773 0.788204456094364 0.76173001310616 0.76173001310616 0.788204456094364 0.788204456094364 0.788204456094364 0.867627785058978 0.76173001310616 0.735255570117955 0.76173001310616 0.894102228047182 0.920576671035387 0.920576671035387 0.920576671035387 0.920576671035387 0.894102228047182 0.894102228047182 0.894102228047182 0.894102228047182 0.894102228047182 0.920576671035387 0.947051114023591 0.947051114023591 0.947051114023591
21 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 0.814862542955326 1 1 1 1 1 1 1 1 1
22 0.716888322098743 0.706777190745127 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.69666605939151 0.706777190745127 0.706777190745127 0.706777190745127 0.69666605939151 0.706777190745127 0.706777190745127 0.716888322098743 0.737110584805976 0.747221716159592 0.757332847513208 0.777555110220441 0.777555110220441 0.787666241574057 0.787666241574057 0.80788850428129 0.80788850428129 0.828110766988523 0.828110766988523 0.838221898342139 0.838221898342139 0.848333029695755 0.878666423756604 0.878666423756604 0.878666423756604
23 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 0.888867924528302 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24 0.798874151055199 0.782784083139614 0.814964218970783 0.806919185012991 0.798874151055199 0.790829117097406 0.798874151055199 0.790829117097406 0.790829117097406 0.806919185012991 0.814964218970783 0.806919185012991 0.798874151055199 0.814964218970783 0.798874151055199 0.806919185012991 0.814964218970783 0.823009252928575 0.806919185012991 0.806919185012991 0.814964218970783 0.831054286886367 0.839099320844159 0.871279456675327 0.879324490633119 0.919549660422079 0.927594694379871 0.943684762295456 0.951729796253248 0.95977483021104 0.975864898126624 1 1 1 1 1 1 1
25 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
26 0.83323124042879 0.83323124042879 0.83323124042879 0.83323124042879 0.777641653905054 0.777641653905054 0.777641653905054 0.777641653905054 0.777641653905054 0.777641653905054 0.777641653905054 0.777641653905054 0.805436447166922 0.805436447166922 0.805436447166922 0.805436447166922 0.805436447166922 0.805436447166922 0.805436447166922 0.805436447166922 0.805436447166922 0.83323124042879 0.83323124042879 0.83323124042879 0.861026033690659 0.861026033690659 0.916615620214395 0.888820826952527 0.916615620214395 0.888820826952527 0.888820826952527 0.888820826952527 0.888820826952527 0.888820826952527 0.944410413476263 0.944410413476263 0.972205206738132 0.972205206738132
27 0.52406015037594 0.76203007518797 0.76203007518797 0.76203007518797 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 0.920676691729323 1 1 1 0.920676691729323 0.841353383458647 1 1 0.920676691729323 0.920676691729323 1 0.920676691729323 0.920676691729323 1 1 1 1 1 1 1 1 1 0.920676691729323 1
28 0.752834467120181 0.691043083900227 0.752834467120181 0.752834467120181 0.752834467120181 0.752834467120181 0.752834467120181 0.752834467120181 0.752834467120181 0.752834467120181 0.691043083900227 0.691043083900227 0.691043083900227 0.814625850340136 0.814625850340136 0.814625850340136 0.814625850340136 0.814625850340136 0.876417233560091 0.814625850340136 0.876417233560091 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 0.938208616780045 1 1 1 1 1 1
29 0.76173001310616 0.682306684141546 0.602883355176933 0.602883355176933 0.602883355176933 0.602883355176933 0.682306684141546 0.76173001310616 0.682306684141546 0.682306684141546 0.682306684141546 0.682306684141546 0.682306684141546 0.682306684141546 0.682306684141546 0.682306684141546 0.841153342070773 0.841153342070773 0.841153342070773 0.841153342070773 0.920576671035387 0.920576671035387 1 0.920576671035387 1 0.920576671035387 0.920576671035387 0.920576671035387 0.920576671035387 0.920576671035387 1 1 0.920576671035387 0.920576671035387 0.920576671035387 0.920576671035387 0.920576671035387 0.920576671035387
30 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.629824561403509 0.629824561403509 0.629824561403509 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 0.814912280701754 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
