"ids" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15" "nef_16" "nef_17" "nef_18" "nef_19" "nef_20" "nef_21" "nef_22" "nef_23" "nef_24" "nef_25" "nef_26" "nef_27" "nef_28" "nef_29" "nef_30" "nef_40" "nef_50" "nef_60" "nef_70" "nef_80" "nef_90" "nef_100" "nef_110" "nef_120" "nef_130" "nef_140" "nef_150" "nef_160" "nef_170" "nef_180" "nef_190" "nef_200"
1 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.524603174603175 0.603835978835979 0.603835978835979 0.603835978835979 0.603835978835979 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.683068783068783 0.762301587301587 0.762301587301587 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.762301587301587 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392 0.841534391534392
2 0.836647727272727 0.836647727272727 0.836647727272727 0.803977272727273 0.803977272727273 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.901988636363636 0.836647727272727 0.836647727272727 0.934659090909091 0.967329545454545 0.934659090909091 0.934659090909091 0.934659090909091 0.967329545454545 0.934659090909091 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545 0.967329545454545
3 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.506633499170813 0.629975124378109 0.629975124378109 0.629975124378109 0.629975124378109 0.629975124378109 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.691645936981758 0.506633499170813 0.506633499170813 0.506633499170813 0.753316749585406 0.753316749585406 0.814987562189055 0.814987562189055 0.814987562189055 0.814987562189055 0.876658374792703 0.814987562189055 0.814987562189055 0.814987562189055 0.814987562189055 0.814987562189055 0.938329187396352 0.938329187396352
4 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921 0.72262118491921
5 0.630144927536232 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 1 1 1 1 1 1 1 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 0.815072463768116 1 1 1 1 1 1 1
6 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.667082294264339 0.722568578553616 0.722568578553616 0.667082294264339 0.722568578553616 0.722568578553616 0.722568578553616 0.667082294264339 0.722568578553616 0.83354114713217 0.889027431421446 0.889027431421446 0.889027431421446 0.889027431421446 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723 0.944513715710723
7 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 0.815134099616858 1 1 1 1 1 1
8 0.62962962962963 0.62962962962963 0.62962962962963 0.62962962962963 0.62962962962963 0.62962962962963 0.62962962962963 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.907407407407407 0.814814814814815 0.814814814814815 0.814814814814815 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407 0.907407407407407
9 0.552469135802469 0.567901234567901 0.567901234567901 0.567901234567901 0.537037037037037 0.537037037037037 0.567901234567901 0.567901234567901 0.567901234567901 0.567901234567901 0.567901234567901 0.567901234567901 0.675925925925926 0.660493827160494 0.675925925925926 0.675925925925926 0.675925925925926 0.691358024691358 0.70679012345679 0.70679012345679 0.70679012345679 0.70679012345679 0.70679012345679 0.70679012345679 0.70679012345679 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.722222222222222 0.737654320987654 0.737654320987654 0.70679012345679 0.753086419753086 0.814814814814815 0.814814814814815 0.799382716049383 0.830246913580247 0.876543209876543 0.938271604938272 0.938271604938272 0.938271604938272 0.953703703703704 0.953703703703704 0.953703703703704 0.953703703703704 0.953703703703704
10 0.654536780013879 0.660934247050659 0.660934247050659 0.660934247050659 0.660934247050659 0.660934247050659 0.712113983344899 0.712113983344899 0.724908917418459 0.724908917418459 0.724908917418459 0.724908917418459 0.724908917418459 0.737703851492019 0.737703851492019 0.724908917418459 0.737703851492019 0.744101318528799 0.737703851492019 0.737703851492019 0.737703851492019 0.737703851492019 0.737703851492019 0.654536780013879 0.654536780013879 0.654536780013879 0.654536780013879 0.654536780013879 0.654536780013879 0.660934247050659 0.699319049271339 0.737703851492019 0.744101318528799 0.756896252602359 0.76969118667592 0.78248612074948 0.78248612074948 0.79528105482304 0.78888358778626 0.78248612074948 0.80167852185982 0.78888358778626 0.78888358778626 0.7760886537127 0.82087092297016 0.85285825815406 0.85925572519084
