"Assay" "nA_2" "nA_3" "nA_4" "nA_5" "nA_6" "nA_7" "nA_8" "nA_9" "nA_10" "nA_11" "nA_12" "nA_13" "nA_14" "nA_15"
1 2 3 4 5 6 7 8 9 10 11 12 13 14 14
2 1 1 2 3 4 5 6 6 6 6 7 8 9 10
3 1 1 2 3 4 5 6 6 6 6 7 8 9 10
4 1 1 2 3 4 5 6 6 6 6 7 8 9 10
5 2 3 4 5 6 7 8 9 10 11 12 13 14 14
6 2 3 3 4 5 5 6 6 7 8 9 10 11 11
7 2 3 4 5 6 7 8 8 8 9 10 11 12 13
8 2 3 4 5 6 7 8 8 8 9 10 11 12 13
9 1 3 3 3 4 5 6 6 6 7 8 8 9 10
10 2 3 3 3 4 5 6 7 7 8 9 9 10 11
11 2 1 1 2 3 4 5 5 5 5 6 6 7 8
12 2 1 2 3 4 5 5 5 5 5 6 6 7 7
13 2 3 3 4 5 6 7 7 7 7 8 8 9 10
14 2 2 2 3 4 5 6 6 6 6 7 7 8 9
15 2 0 0 0 0 0 0 0 0 0 0 0 0 0
16 1 0 0 1 2 3 4 4 4 4 5 5 6 6
17 2 3 4 5 6 6 7 7 7 8 9 9 10 10
18 1 3 4 5 6 7 8 8 8 8 9 9 10 10
19 1 3 3 4 5 5 6 6 6 6 7 7 8 8
20 1 1 2 2 3 4 5 5 5 5 6 7 8 9
21 0 1 2 3 4 5 5 5 5 5 6 7 8 8
22 1 1 2 3 4 5 6 6 6 6 7 8 9 9
23 1 1 2 3 4 5 6 6 6 6 7 8 9 9
24 1 1 2 3 4 5 6 6 6 6 7 8 9 9
25 1 1 2 3 4 5 6 6 6 6 7 8 9 9
26 1 0 0 0 1 2 3 3 3 3 4 5 6 6
27 1 1 2 3 4 5 6 6 6 6 7 8 9 9
28 1 2 2 3 4 4 5 5 5 5 6 6 7 7
29 1 1 1 2 3 4 5 5 5 5 6 7 8 8
30 1 3 4 4 5 5 6 6 6 6 6 6 7 7
31 2 2 2 3 4 5 6 6 6 6 7 7 8 8
32 1 1 2 3 4 5 6 6 6 6 7 8 9 9
33 1 1 2 3 4 5 6 6 6 6 7 8 9 9
34 1 1 2 3 4 5 6 6 6 6 7 8 9 9
35 2 2 2 3 4 4 5 5 5 5 6 6 7 7
36 2 2 2 2 3 3 4 4 4 4 5 5 6 6
37 1 1 2 3 4 5 6 6 6 6 7 8 9 9
38 1 1 2 3 4 5 6 6 6 6 7 8 9 9
39 2 2 2 2 3 3 4 4 4 4 5 5 6 6
40 1 1 1 2 3 4 5 5 5 5 6 6 7 7
41 1 3 3 4 5 5 6 6 6 6 6 6 7 7
42 1 0 0 1 2 3 3 3 3 3 4 5 6 6
43 0 1 1 2 3 4 5 5 5 5 6 7 8 8
44 1 1 2 3 4 5 6 6 6 6 7 8 9 9
45 0 1 2 3 4 5 6 6 6 6 7 8 9 9
46 0 0 1 1 2 3 4 4 4 4 5 6 7 7
47 1 1 2 3 4 5 6 6 6 6 7 8 9 9
48 1 2 3 3 4 4 5 5 5 5 6 6 7 7
49 0 0 0 1 2 2 3 3 3 3 4 5 6 6
50 1 1 1 2 3 4 5 5 5 5 6 7 8 8
51 2 2 2 2 3 4 4 4 4 4 5 5 6 6
52 2 2 3 4 5 6 6 6 6 6 7 7 8 8
53 1 1 2 2 3 4 5 5 5 6 7 8 9 10
54 0 1 1 1 2 3 4 4 4 4 5 5 6 6
55 1 0 1 2 3 4 5 5 5 5 6 6 7 7
56 1 1 2 3 4 5 6 6 6 6 7 8 9 9
57 0 1 2 3 4 4 5 5 5 5 6 6 7 7
58 1 1 1 1 2 3 4 4 4 4 4 4 5 5
59 0 0 1 2 3 4 5 5 5 5 6 6 7 7
60 0 1 2 2 3 4 5 5 5 5 6 6 7 7
61 1 2 3 4 5 5 5 5 5 5 5 5 6 6
62 0 1 2 3 4 5 6 6 6 6 7 7 8 9
63 2 2 3 3 4 5 6 6 6 6 7 7 8 8
64 2 3 3 3 4 5 6 6 6 6 6 6 7 7
65 0 0 1 1 2 2 3 3 3 3 4 4 4 4
66 1 1 1 1 2 3 4 4 4 4 5 5 6 6
67 1 1 2 3 4 5 6 6 6 6 6 6 7 7
68 0 0 0 0 1 2 3 3 3 3 3 3 4 4
