"Assay" "nA_2" "nA_3" "nA_4" "nA_5" "nA_6" "nA_7" "nA_8" "nA_9" "nA_10" "nA_11" "nA_12" "nA_13" "nA_14" "nA_15"
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2 1 1 2 2 3 4 5 6 6 7 8 9 10 10
3 1 1 2 2 2 3 4 5 5 6 7 8 9 9
4 1 1 2 2 2 3 4 5 5 6 7 8 9 9
5 2 3 4 5 6 7 8 9 10 11 11 12 13 14
6 2 3 4 5 6 7 8 9 10 11 12 13 13 14
7 2 3 4 5 6 7 8 9 9 10 11 12 13 14
8 2 3 4 5 6 7 8 9 9 10 11 12 13 14
9 1 1 2 3 4 5 6 7 8 9 10 10 11 12
10 2 3 4 5 6 7 8 9 10 11 12 13 14 15
11 2 3 4 4 5 6 7 8 8 9 9 10 11 11
12 2 2 3 3 4 5 6 7 7 8 8 9 9 10
13 2 3 3 4 5 6 7 8 8 9 9 10 10 10
14 2 2 3 4 5 6 7 8 8 9 9 10 11 12
15 2 0 0 0 0 0 0 0 0 0 0 0 0 0
16 1 1 2 2 3 4 5 6 6 7 7 8 9 9
17 2 3 4 5 6 7 8 8 8 8 8 9 10 11
18 1 2 2 2 3 4 5 6 6 7 7 8 8 9
19 1 2 2 2 3 4 5 6 6 7 7 8 9 9
20 1 1 1 1 1 2 3 4 4 5 6 7 8 8
21 0 1 1 1 2 3 4 5 5 6 6 7 8 8
22 1 1 2 2 3 4 5 6 6 7 7 8 9 9
23 1 1 2 2 3 4 5 6 6 7 7 8 9 9
24 1 1 2 2 3 4 5 6 6 7 7 8 9 9
25 1 1 2 2 3 4 5 6 6 7 7 8 9 9
26 1 1 2 2 3 4 5 6 6 6 6 7 8 8
27 1 1 2 2 3 4 5 6 6 7 7 8 9 9
28 1 2 3 3 3 4 5 6 6 7 7 8 8 9
29 1 0 1 1 2 3 4 5 5 6 6 7 8 8
30 1 3 3 3 4 5 6 7 7 8 8 9 9 10
31 2 3 3 4 5 6 7 8 8 9 9 10 10 11
32 1 0 1 1 2 3 4 5 5 6 6 7 8 8
33 1 1 2 2 3 4 5 6 6 7 7 8 9 9
34 1 1 1 1 1 2 3 4 4 5 5 6 7 7
35 2 3 4 5 5 6 7 7 7 8 8 9 9 10
