"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.97768532526475 0.966527987897126 0.966527987897126 0.966527987897126 0.966527987897126 0.966527987897126 0.966527987897126 0.966527987897126 0.966527987897126 0.955370650529501 0.955370650529501 0.955370650529501 0.966527987897126
2 1 1 1 1 1 1 1 1 1 1 1 1 1
3 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.602027972027972 0.602027972027972 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825
4 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.602027972027972 0.602027972027972 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825 0.545174825174825
5 1 0.970930232558139 0.970930232558139 0.970930232558139 0.970930232558139 0.970930232558139 0.970930232558139 0.970930232558139 0.970930232558139 0.927325581395349 0.927325581395349 0.956395348837209 0.956395348837209
6 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326 0.989576634512326
7 0.687297734627832 0.687297734627832 0.687297734627832 1 1 1 1 1 1 1 1 1 1
8 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609 0.374795417348609
9 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.836902800658979 0.845963756177924
10 0.884577114427861 0.884577114427861 0.884577114427861 0.884577114427861 0.874958540630182 0.874958540630182 0.874958540630182 0.884577114427861 0.884577114427861 0.884577114427861 0.894195688225539 0.894195688225539 0.894195688225539
11 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875 0.921875
12 0.843803418803419 0.843803418803419 0.843803418803419 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182 0.869836182336182
13 0.88528297917105 0.88528297917105 0.88528297917105 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711 0.898029314818711
14 0.8785140562249 0.8785140562249 0.8785140562249 0.895869191049914 0.895869191049914 0.895869191049914 0.895869191049914 0.895869191049914 0.895869191049914 0.895869191049914 0.895869191049914 0.913224325874928 0.913224325874928
15 NA NA NA NA NA NA NA NA NA NA NA NA NA
16 0.886283891547049 0.886283891547049 0.886283891547049 0.905236576289208 0.905236576289208 0.962094630515683 0.981047315257842 0.981047315257842 0.981047315257842 0.981047315257842 0.981047315257842 0.981047315257842 0.981047315257842
17 0.742737516799338 0.705985733484958 0.742737516799338 0.669233950170578 0.669233950170578 0.632482166856198 0.632482166856198 0.632482166856198 0.632482166856198 0.632482166856198 0.632482166856198 0.705985733484958 0.705985733484958
18 0.895906949352179 0.895906949352179 0.895906949352179 0.895906949352179 0.895906949352179 0.94795347467609 1 0.94795347467609 0.94795347467609 0.94795347467609 0.94795347467609 1 0.94795347467609
19 0.9625 0.9625 0.9625 0.975 0.975 0.9875 1 0.9875 0.9875 0.9875 0.9875 1 0.9875
20 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287 0.375222816399287
21 0.720944863875543 0.720944863875543 0.720944863875543 0.707656524060093 0.707656524060093 0.707656524060093 0.707656524060093 0.707656524060093 0.707656524060093 0.707656524060093 0.707656524060093 0.800674902768245 0.800674902768245
22 0.375451263537906 0.375451263537906 0.375451263537906 0.375451263537906 0.375451263537906 0.500361010830325 0.500361010830325 0.500361010830325 0.375451263537906 0.375451263537906 0.375451263537906 0.375451263537906 0.375451263537906
23 0.583333333333333 0.583333333333333 0.583333333333333 0.615384615384615 0.615384615384615 0.647435897435897 0.67948717948718 0.663461538461538 0.663461538461538 0.663461538461538 0.663461538461538 0.727564102564103 0.727564102564103
24 0.74255364577773 0.74255364577773 0.74255364577773 0.74255364577773 0.74255364577773 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684
25 0.749909255898367 0.749909255898367 0.749909255898367 0.62486388384755 0.62486388384755 0.62486388384755 0.499818511796733 0.62486388384755 0.62486388384755 0.62486388384755 0.62486388384755 0.749909255898367 0.749909255898367
26 0.908054873492046 0.908054873492046 0.908054873492046 0.917249386142842 0.917249386142842 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.834498772285684 0.843693284936479 0.843693284936479
27 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364 0.843636363636364
28 0.974471243042672 0.974471243042672 0.974471243042672 0.974471243042672 0.974471243042672 0.974471243042672 0.961706864564007 0.961706864564007 0.961706864564007 0.961706864564007 0.961706864564007 0.961706864564007 0.961706864564007
29 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308 0.807692307692308
30 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896 0.949305795740896
31 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.945948084836974 0.938226382670827 0.938226382670827
32 0.659340659340659 0.659340659340659 0.659340659340659 0.659340659340659 0.659340659340659 0.636630036630037 0.636630036630037 0.659340659340659 0.659340659340659 0.659340659340659 0.659340659340659 0.659340659340659 0.659340659340659
33 0.791819291819292 0.791819291819292 0.791819291819292 0.791819291819292 0.791819291819292 0.583638583638584 0.687728937728938 0.687728937728938 0.687728937728938 0.687728937728938 0.687728937728938 0.583638583638584 0.583638583638584
34 0.613378684807256 0.613378684807256 0.613378684807256 0.613378684807256 0.613378684807256 0.643118785975929 0.613378684807256 0.613378684807256 0.643118785975929 0.643118785975929 0.643118785975929 0.643118785975929 0.643118785975929
35 0.929003336113428 0.929003336113428 0.929003336113428 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085 0.936103002502085
36 0.933823529411765 0.933823529411765 0.933823529411765 0.926470588235294 0.926470588235294 0.919117647058823 0.926470588235294 0.926470588235294 0.926470588235294 0.926470588235294 0.926470588235294 0.926470588235294 0.926470588235294
