"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.890814266487214 0.821332436069987 0.811406460296097 0.811406460296097 0.811406460296097 0.811406460296097 0.811406460296097 0.870962314939435 0.870962314939435 0.861036339165545 0.861036339165545 0.861036339165545 0.870962314939435
2 1 1 1 1 1 1 1 1 1 1 1 1 1
3 0.444672131147541 0.444672131147541 0.444672131147541 0.495156482861401 0.495156482861401 0.545640834575261 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401
4 0.444672131147541 0.444672131147541 0.444672131147541 0.495156482861401 0.495156482861401 0.545640834575261 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401
5 0.870801033591731 0.79328165374677 0.79328165374677 0.79328165374677 0.79328165374677 0.79328165374677 0.79328165374677 0.844961240310077 0.844961240310077 0.844961240310077 0.844961240310077 0.832041343669251 0.857881136950904
6 0.851809523809524 0.851809523809524 0.898119047619048 0.898119047619048 0.898119047619048 0.898119047619048 0.898119047619048 0.916642857142857 0.916642857142857 0.925904761904762 0.925904761904762 0.925904761904762 0.907380952380952
7 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989
8 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465
9 0.669838945827233 0.710102489019034 0.702049780380673 0.702049780380673 0.702049780380673 0.702049780380673 0.702049780380673 0.734260614934114 0.734260614934114 0.734260614934114 0.750366032210835 0.750366032210835 0.726207906295754
10 0.701030927835051 0.743740795287187 0.752282768777614 0.752282768777614 0.752282768777614 0.752282768777614 0.752282768777614 0.760824742268041 0.760824742268041 0.760824742268041 0.760824742268041 0.760824742268041 0.752282768777614
11 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111
12 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985
13 0.841197029270424 0.841197029270424 0.841197029270424 0.852540098608251 0.852540098608251 0.875226237283904 0.875226237283904 0.863883167946077 0.863883167946077 0.863883167946077 0.863883167946077 0.863883167946077 0.863883167946077
14 0.845584481878509 0.845584481878509 0.845584481878509 0.861026033690659 0.861026033690659 0.891909137314957 0.891909137314957 0.876467585502808 0.876467585502808 0.876467585502808 0.876467585502808 0.891909137314957 0.861026033690659
15 NA NA NA NA NA NA NA NA NA NA NA NA NA
16 0.680284149910318 0.680284149910318 0.680284149910318 0.680284149910318 0.680284149910318 0.848555649957519 0.848555649957519 0.848555649957519 0.848555649957519 0.848555649957519 0.848555649957519 0.865382799962239 0.865382799962239
17 0.640579044117647 0.640579044117647 0.673253676470588 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647 0.640579044117647
18 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.861045597484277 0.907363731656184 0.861045597484277
19 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929 0.922283464566929
20 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105
21 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.597916454579388 0.597916454579388 0.597916454579388 0.597916454579388 0.668872374359496 0.668872374359496
22 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374
23 0.515669515669516 0.515669515669516 0.52991452991453 0.52991452991453 0.52991452991453 0.544159544159544 0.558404558404558 0.572649572649573 0.572649572649573 0.572649572649573 0.572649572649573 0.715099715099715 0.715099715099715
24 0.640464895635674 0.640464895635674 0.640464895635674 0.67314990512334 0.67314990512334 0.83657495256167 0.83657495256167 0.852917457305503 0.852917457305503 0.852917457305503 0.852917457305503 0.852917457305503 0.852917457305503
25 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.666612903225806 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742
26 0.681321157495256 0.681321157495256 0.705834914611006 0.705834914611006 0.705834914611006 0.714006166982922 0.714006166982922 0.738519924098672 0.738519924098672 0.738519924098672 0.738519924098672 0.738519924098672 0.738519924098672
27 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595 0.861066235864297 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595
28 0.931950809402921 0.931950809402921 0.931950809402921 0.931950809402921 0.931950809402921 0.920609277636741 0.920609277636741 0.920609277636741 0.920609277636741 0.920609277636741 0.920609277636741 0.920609277636741 0.920609277636741
29 0.743797531479865 0.743797531479865 0.743797531479865 0.786497942899888 0.786497942899888 0.82919835431991 0.82919835431991 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888
30 0.93997893997894 0.93997893997894 0.93997893997894 0.93997893997894 0.93997893997894 0.93997893997894 0.93997893997894 0.924973674973675 0.924973674973675 0.924973674973675 0.924973674973675 0.924973674973675 0.924973674973675
31 0.866523353527457 0.866523353527457 0.883207934336525 0.883207934336525 0.883207934336525 0.874865643931991 0.874865643931991 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525 0.883207934336525 0.874865643931991
