"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.870962314939435 0.890814266487214 0.890814266487214 0.890814266487214 0.841184387617766 0.870962314939435 0.72207267833109 0.593034993270525 0.602960969044415 0.602960969044415 0.602960969044415 0.602960969044415 0.602960969044415
2 1 1 1 1 1 1 1 1 1 1 1 1 1
3 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.596125186289121 0.596125186289121 0.596125186289121
4 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.545640834575261 0.596125186289121 0.596125186289121 0.596125186289121
5 0.883720930232558 0.896640826873385 0.896640826873385 0.896640826873385 0.896640826873385 0.896640826873385 0.896640826873385 0.79328165374677 0.780361757105943 0.780361757105943 0.780361757105943 0.780361757105943 0.780361757105943
6 0.870333333333333 0.870333333333333 0.870333333333333 0.870333333333333 0.870333333333333 0.888857142857143 0.888857142857143 0.888857142857143 0.907380952380952 0.907380952380952 0.907380952380952 0.907380952380952 0.907380952380952
7 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989
8 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465
9 0.677891654465593 0.677891654465593 0.677891654465593 0.677891654465593 0.677891654465593 0.685944363103953 0.685944363103953 0.685944363103953 0.685944363103953 0.685944363103953 0.685944363103953 0.685944363103953 0.685944363103953
10 0.709572901325479 0.709572901325479 0.709572901325479 0.709572901325479 0.709572901325479 0.701030927835051 0.709572901325479 0.709572901325479 0.718114874815906 0.718114874815906 0.718114874815906 0.718114874815906 0.718114874815906
11 0.861111111111111 0.861111111111111 0.861111111111111 0.861111111111111 0.895833333333333 0.895833333333333 0.895833333333333 0.895833333333333 0.895833333333333 0.895833333333333 0.895833333333333 0.895833333333333 0.895833333333333
12 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.837987588652482 0.837987588652482 0.837987588652482 0.837987588652482 0.837987588652482 0.837987588652482 0.837987588652482 0.837987588652482 0.837987588652482
13 0.875226237283904 0.875226237283904 0.897912375959558 0.897912375959558 0.875226237283904 0.886569306621731 0.886569306621731 0.886569306621731 0.886569306621731 0.886569306621731 0.886569306621731 0.886569306621731 0.886569306621731
14 0.876467585502808 0.876467585502808 0.861026033690659 0.861026033690659 0.861026033690659 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636
15 NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA 0.713938449919758 0.713938449919758 0.730765599924478 0.747592749929199 0.747592749929199 0.747592749929199 0.747592749929199 0.814901349948079 0.814901349948079 0.814901349948079 0.814901349948079
17 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.705928308823529 0.705928308823529 0.705928308823529 0.607904411764706 0.607904411764706
