"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.821332436069987 0.811406460296097 0.831258411843876 0.831258411843876 0.831258411843876 0.831258411843876 0.821332436069987 0.831258411843876 0.831258411843876 0.831258411843876 0.831258411843876 0.831258411843876 0.821332436069987
2 1 1 1 1 1 1 1 1 1 1 1 1 1
3 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401
4 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401 0.495156482861401
5 0.844961240310077 0.832041343669251 0.819121447028424 0.819121447028424 0.819121447028424 0.819121447028424 0.819121447028424 0.832041343669251 0.832041343669251 0.832041343669251 0.832041343669251 0.832041343669251 0.844961240310077
6 0.842547619047619 0.851809523809524 0.851809523809524 0.851809523809524 0.851809523809524 0.851809523809524 0.851809523809524 0.861071428571428 0.861071428571428 0.861071428571428 0.861071428571428 0.861071428571428 0.861071428571428
7 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989
8 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465 0.444767441860465
9 0.734260614934114 0.734260614934114 0.693997071742313 0.693997071742313 0.693997071742313 0.685944363103953 0.685944363103953 0.685944363103953 0.685944363103953 0.677891654465593 0.677891654465593 0.685944363103953 0.669838945827233
10 0.743740795287187 0.73519882179676 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.726656848306333 0.752282768777614
11 0.895833333333333 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889
12 0.837987588652482 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985
13 0.807167821256943 0.807167821256943 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477 0.81851089059477
14 0.83014293006636 0.845584481878509 0.814701378254211 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636 0.83014293006636
15 NA NA NA NA NA NA NA NA NA NA NA NA NA
16 0.747592749929199 0.764419899933919 0.764419899933919 0.730765599924478 0.730765599924478 0.747592749929199 0.747592749929199 0.747592749929199 0.747592749929199 0.747592749929199 0.747592749929199 0.747592749929199 0.747592749929199
17 0.705928308823529 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471 0.738602941176471
18 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092 0.953681865828092
19 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.877874015748031 0.90007874015748 0.90007874015748
20 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105
21 0.597916454579388 0.597916454579388 0.597916454579388 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.621568427839424 0.621568427839424 0.621568427839424
22 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374 0.4446227929374
23 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715 0.715099715099715
24 0.607779886148008 0.624122390891841 0.624122390891841 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674 0.640464895635674
25 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742
26 0.787547438330171 0.763033681214421 0.763033681214421 0.754862428842505 0.754862428842505 0.779376185958254 0.779376185958254 0.779376185958254 0.779376185958254 0.779376185958254 0.779376185958254 0.771204933586338 0.771204933586338
27 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297
