"Assay" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.879345488545261 0.81405377911314 0.80428474428474 0.80428474428474 0.80428474428474 0.80428474428474 0.80428474428474 0.862565305350784 0.862565305350784 0.852639431836172 0.852639431836172 0.852656267680661 0.861405113109613
2 0.457937066110351 0.457937066110351 0.480666580539595 0.474516954664201 0.478114742628866 0.470548445161846 0.466038843451064 0.482965118619294 0.482965118619294 0.482965118619294 0.482965118619294 0.48338668475039 0.48338668475039
3 0.393751614078416 0.393751614078416 0.396423198467635 0.444933423726841 0.444933423726841 0.493767794187809 0.44410377029064 0.444751878452813 0.444751878452813 0.444751878452813 0.444751878452813 0.444751878452813 0.444751878452813
4 0.393751614078416 0.393751614078416 0.396423198467635 0.444933423726841 0.444933423726841 0.493767794187809 0.44410377029064 0.444751878452813 0.444751878452813 0.444751878452813 0.444751878452813 0.444751878452813 0.444751878452813
5 0.853330365974706 0.78161519386757 0.78161519386757 0.78161519386757 0.78161519386757 0.78161519386757 0.78161519386757 0.830851765531682 0.830851765531682 0.831205736427655 0.831205736427655 0.817842253405434 0.842657477713178
6 0.843688900011638 0.843688900011638 0.890896719470784 0.890896719470784 0.890896719470784 0.890896719470784 0.890896719470784 0.909513132316174 0.909513132316174 0.918771757821691 0.918771757821691 0.918711572111229 0.900589440348505
7 0.210394975450801 0.25809106086003 0.28477291179049 0.28477291179049 0.275494804604642 0.27298754466756 0.269988189383193 0.263096122324928 0.263096122324928 0.263096122324928 0.263096122324928 0.263096122324928 0.267979566908228
8 -0.00764763914936262 0.0421081367032086 0.0619755279498949 0.0619755279498949 0.0527175270361186 0.0502157004971894 0.0472228450141483 0.0449536220463861 0.0449536220463861 0.0449536220463861 0.0449536220463861 0.0470855138928917 0.049826483882206
9 0.660300245840714 0.698952651525041 0.690377802833889 0.690377802833889 0.690377802833889 0.690377802833889 0.690377802833889 0.721398641342917 0.721398641342917 0.721398641342917 0.73905278656717 0.73905278656717 0.716326328739068
10 0.696378113890591 0.736123704862603 0.743776396515229 0.743776396515229 0.743776396515229 0.743776396515229 0.743776396515229 0.752066030771079 0.752066030771079 0.752066030771079 0.752066030771079 0.752066030771079 0.743889539851259
11 0.824300562032556 0.824300562032556 0.825387405973896 0.825387405973896 0.825387405973896 0.825387405973896 0.825387405973896 0.825008772430414 0.825008772430414 0.825008772430414 0.825008772430414 0.824742946218236 0.826134036404326
12 0.836901834086106 0.836901834086106 0.836901834086106 0.836905550977226 0.836905550977226 0.836835746955342 0.83662562340274 0.836723468834647 0.836723468834647 0.836723468834647 0.836723468834647 0.836499067929968 0.836499067929968
13 0.830688123249469 0.830688123249469 0.830688123249469 0.84234128869899 0.842318655102386 0.865620014570735 0.865536844984894 0.854088702469443 0.854088702469443 0.854088702469443 0.854088702469443 0.854088702469443 0.854088702469443
14 0.830671625063995 0.830671625063995 0.830671625063995 0.846460126334062 0.846460126334062 0.877982947440071 0.877870263627474 0.862373513775375 0.862373513775375 0.862373513775375 0.862373513775375 0.8782188293256 0.846310924957342
15 NA NA NA NA NA NA NA NA NA NA NA NA NA
16 0.66702972435664 0.66702972435664 0.66702972435664 0.66702972435664 0.66702972435664 0.838550029506866 0.838550029506866 0.838550029506866 0.838550029506866 0.838550029506866 0.838550029506866 0.855747372470905 0.855747372470905
17 0.588268794199645 0.593989596306123 0.628877697017754 0.596528849263803 0.596528849263803 0.596111766355447 0.595922057563467 0.596047528205506 0.596047528205506 0.596047528205506 0.596047528205506 0.595019959894269 0.595022022263345
18 0.808115295939104 0.814917033735532 0.817414243982013 0.817414243982013 0.817414243982013 0.817286730263713 0.816977663366067 0.817931517010513 0.817931517010513 0.817931517010513 0.817931517010513 0.865429536546137 0.818488378756972
19 0.914951302132166 0.914951302132166 0.914951302132166 0.914951302132166 0.914951302132166 0.914876833290832 0.914876833290832 0.915061737244333 0.915061737244333 0.915061737244333 0.915061737244333 0.915061737244333 0.915155772675869
20 0.138693417202154 0.138693417202154 0.165069836141552 0.157280014279644 0.157280014279644 0.156883899316216 0.151364998508851 0.158988906292144 0.158988906292144 0.158988906292144 0.158988906292144 0.159590591544304 0.159590591544304
21 0.600829266453573 0.600829266453573 0.600829266453573 0.600829266453573 0.600829266453573 0.601351988538984 0.601351988538984 0.589656254786611 0.589656254786611 0.589656254786611 0.589656254786611 0.662020682541657 0.662020682541657
22 0.361353737728394 0.361353737728394 0.364221353554572 0.364084012443718 0.364084012443718 0.362815390383846 0.361334192698505 0.363502013283125 0.363502013283125 0.363502013283125 0.363502013283125 0.365071852752462 0.365071852752462
23 0.503613666180625 0.503613666180625 0.518586200579969 0.518544543030953 0.518544543030953 0.532697981570045 0.547187293319599 0.561617568922714 0.561617568922714 0.561617568922714 0.561617568922714 0.707439621009776 0.707439621009776
