"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
1 0.963705936920223 0.957513914656772 0.953432282003711 0.952179962894249 0.952643784786642 0.952690166975881 0.95206400742115 0.952133580705009 0.952643784786642 0.952643784786642 0.952736549165121 0.952875695732839 0.952226345083488 0.950278293135436
2 0.96309963099631 0.940959409594096 0.945879458794588 0.945879458794588 0.934809348093481 0.936039360393604 0.936039360393604 0.936039360393604 0.936039360393604 0.940959409594096 0.942189421894219 0.939729397293973 0.942189421894219 0.942189421894219
3 0.480956699161188 0.387440489684879 0.383926547268193 0.383926547268193 0.383926547268193 0.62684198594423 0.640217637723872 0.63216957605985 0.63216957605985 0.615279981863523 0.619247336204942 0.608932214917252 0.614939922919973 0.614939922919973
4 0.480956699161188 0.387440489684879 0.383926547268193 0.383926547268193 0.383926547268193 0.62684198594423 0.640217637723872 0.63216957605985 0.63216957605985 0.615279981863523 0.619247336204942 0.608932214917252 0.614939922919973 0.614939922919973
5 0.963014850098067 0.952803461909654 0.945892095513838 0.946670402540394 0.947884561501821 0.948351545717755 0.947479841848012 0.947417577285888 0.945207185330469 0.945425111297905 0.945425111297905 0.945674169546403 0.946141153762336 0.949005323620062
6 0.969893221912721 0.970659238625812 0.963649025069638 0.958240482822656 0.959099350046425 0.959285051067781 0.958286908077994 0.958565459610028 0.959076137418756 0.95930826369545 0.959006499535747 0.958844011142061 0.958844011142061 0.957706592386258
7 0.885862516212711 0.877431906614786 0.885214007782101 0.780155642023346 0.784046692607004 0.78988326848249 0.799610894941634 0.804150453955901 0.804150453955901 0.80609597924773 0.809987029831388 0.810635538261997 0.815823605706874 0.819066147859922
8 0.591207349081365 0.726377952755906 0.735564304461942 0.746062992125984 0.742782152230971 0.746062992125984 0.757217847769029 0.761811023622047 0.761811023622047 0.770341207349081 0.776246719160105 0.772965879265092 0.744094488188976 0.748687664041995
9 0.876244486452426 0.888783868935098 0.879353077084646 0.852720016803193 0.855450535601764 0.85574459147238 0.85645872715816 0.852741020793951 0.851039697542533 0.852762024784709 0.850913673597984 0.850913673597984 0.850976685570258 0.84940138626339
10 0.905437088310818 0.913587138550854 0.878865691637825 0.881567489114659 0.886345874734844 0.88886904097354 0.885698336496595 0.88469353578207 0.8858992966395 0.887730266830412 0.884559562353467 0.886144914591939 0.885475047448923 0.884358602210562
11 0.907113259668508 0.904955110497238 0.889934392265193 0.889934392265193 0.892869475138122 0.894337016574586 0.891142955801105 0.892265193370166 0.892265193370166 0.893905386740331 0.893905386740331 0.894595994475138 0.896408839779006 0.896408839779006
12 0.880893446487506 0.902699198491278 0.906117397454031 0.906117397454031 0.91006600660066 0.912069778406412 0.909653465346535 0.911126826968411 0.911126826968411 0.912894860914663 0.912894860914663 0.913719943422914 0.913719943422914 0.910360678925035
13 0.910059599060863 0.915869002468244 0.915869002468244 0.906206730479802 0.908584672807176 0.909487688880862 0.909788694238757 0.910330503882969 0.910330503882969 0.911173318885076 0.911173318885076 0.911444223707182 0.911444223707182 0.911444223707182
14 0.89951690821256 0.905837359098229 0.905032206119163 0.897584541062802 0.9006038647343 0.901086956521739 0.899798711755234 0.900845410628019 0.900845410628019 0.902697262479871 0.902697262479871 0.90354267310789 0.903381642512077 0.900845410628019
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 0.888413547237077 0.906996434937611 0.908065953654189 0.908065953654189 0.897326203208556 0.899866310160428 0.901916221033868 0.897593582887701 0.897593582887701 0.900490196078431 0.900490196078431 0.898752228163993 0.901381461675579 0.901381461675579
17 0.727496185794202 0.763010679776233 0.767418206475674 0.773436175622987 0.779623665027971 0.779877945414477 0.785556874046449 0.785556874046449 0.785556874046449 0.785556874046449 0.785556874046449 0.787167316494321 0.790812002034243 0.791066282420749
18 0.95083932853717 0.971702637889688 0.971702637889688 0.971702637889688 0.973381294964029 0.973381294964029 0.973381294964029 0.973381294964029 0.973381294964029 0.973860911270983 0.973860911270983 0.973980815347722 0.973980815347722 0.972302158273381
19 0.973679389312977 0.973282442748092 0.973282442748092 0.973282442748092 0.974351145038168 0.974442748091603 0.975114503816794 0.974961832061069 0.974961832061069 0.975664122137405 0.975664122137405 0.975786259541985 0.978839694656489 0.978839694656489
20 0.65 0.871428571428571 0.871428571428571 0.871428571428571 0.871428571428571 0.872857142857143 0.877142857142857 0.877142857142857 0.877142857142857 0.881428571428571 0.885714285714286 0.89 0.894285714285714 0.894285714285714
21 NA 0.724451718494272 0.724451718494272 0.724451718494272 0.746186579378069 0.75152209492635 0.756857610474632 0.724026186579378 0.724026186579378 0.721734860883797 0.721734860883797 0.728314238952537 0.730572831423895 0.730572831423895
22 0.571761280931587 0.735371179039301 0.741484716157205 0.741484716157205 0.728384279475982 0.734497816593886 0.741775836972344 0.749344978165939 0.749344978165939 0.756622998544396 0.756622998544396 0.741193595342067 0.746433770014556 0.746433770014556
23 0.687384300287526 0.80924809957068 0.813265587459136 0.813265587459136 0.820158336287369 0.824609082673599 0.830123281736185 0.831816928591122 0.831816928591122 0.834692189530899 0.834692189530899 0.83677970774745 0.829768797510733 0.829768797510733
24 0.761607543780871 0.75792546026044 0.758958239784463 0.758958239784463 0.759856308935788 0.751638976201167 0.753480017961383 0.759137853614728 0.759137853614728 0.762370902559497 0.762370902559497 0.768253255500674 0.77139649753031 0.77139649753031
25 0.791228070175439 0.833918128654971 0.839181286549708 0.839181286549708 0.839181286549708 0.833333333333333 0.835380116959064 0.839766081871345 0.839766081871345 0.845614035087719 0.845614035087719 0.846198830409357 0.85233918128655 0.85233918128655
26 0.943876101165104 0.938145306431751 0.931419910959553 0.931419910959553 0.930614757980487 0.929691200151558 0.933811688926778 0.92746518897414 0.92746518897414 0.92746518897414 0.92746518897414 0.927252060244388 0.928838685232547 0.928838685232547
27 0.872076023391813 0.919956140350877 0.923976608187134 0.923976608187134 0.928728070175439 0.929824561403509 0.930190058479532 0.931652046783626 0.931652046783626 0.934576023391813 0.934576023391813 0.93530701754386 0.938961988304094 0.938961988304094
28 0.966018332215515 0.960461179777075 0.960620868065536 0.960620868065536 0.960620868065536 0.961131870588611 0.961738686084763 0.962121937977069 0.962121937977069 0.959694675992463 0.959694675992463 0.960077927884769 0.960077927884769 0.960045990227077
29 0.84775641025641 NA 0.866758241758242 0.866758241758242 0.871108058608059 0.872596153846154 0.873740842490842 0.871451465201465 0.871451465201465 0.871451465201465 0.871451465201465 0.872710622710623 0.87603021978022 0.87603021978022
30 0.958143615021513 0.95200300764443 0.95200300764443 0.95200300764443 0.953214419984126 0.953673921216425 0.952253644680229 0.953130874305527 0.953130874305527 0.953715694055725 0.953715694055725 0.954049876770124 0.954049876770124 0.956013200217219
31 0.956728600139453 0.944157335630204 0.944157335630204 0.936548952052828 0.93267298306058 0.932898568557483 0.943624133546614 0.944034288995529 0.944034288995529 0.944239366719987 0.944239366719987 0.946433698371683 0.946433698371683 0.944239366719987
32 0.671741336813107 NA 0.651210671306365 0.651210671306365 0.661215021023633 0.671480353777004 0.681165724227925 0.639147455415398 0.639147455415398 0.64193127446716 0.64193127446716 0.64688995215311 0.652921560098594 0.652921560098594
33 0.870808678500986 0.777613412228797 0.783037475345168 0.783037475345168 0.787228796844181 0.793885601577909 0.800542406311637 0.781804733727811 0.781804733727811 0.785749506903353 0.785749506903353 0.786735700197239 0.790927021696253 0.790927021696253
34 0.802031553922628 0.722714501837043 0.722714501837043 0.722714501837043 0.722714501837043 0.730422880195951 0.740148404293639 0.677328722714502 0.677328722714502 0.682443627980693 0.682443627980693 0.685109141992652 0.690512210935811 0.690512210935811
35 0.948374980837038 0.933983596504676 0.937049670397057 0.934884255710563 0.934884255710563 0.935018396443354 0.935363329756247 0.935363329756247 0.935363329756247 0.939674996167408 0.939674996167408 0.939579181358271 0.939579181358271 0.937509581480914
36 0.95009391992091 0.938269896193772 0.938269896193772 0.932634700939199 0.927731092436975 0.927968363816115 0.926544735541275 0.927632229362333 0.927632229362333 0.927632229362333 0.927632229362333 0.930538803756797 0.930538803756797 0.928344043499753
