"Assay" "nef_1" "nef_2" "nef_3" "nef_4" "nef_5" "nef_6" "nef_7" "nef_8" "nef_9" "nef_10" "nef_11" "nef_12" "nef_13" "nef_14" "nef_15"
1 0.900740242261104 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.920592193808883 0.930518169582773 0.930518169582773 0.930518169582773 0.930518169582773
2 NA 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 NA 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.646609538002981 0.646609538002981 0.646609538002981 0.646609538002981 0.596125186289121 0.596125186289121
4 NA 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.596125186289121 0.646609538002981 0.646609538002981 0.646609538002981 0.646609538002981 0.596125186289121 0.596125186289121
5 0.922480620155039 0.909560723514212 0.909560723514212 0.922480620155039 0.922480620155039 0.922480620155039 0.935400516795866 0.922480620155039 0.922480620155039 0.896640826873385 0.857881136950904 0.857881136950904 0.857881136950904 0.844961240310077 0.832041343669251
6 0.944428571428571 0.944428571428571 0.944428571428571 0.935166666666667 0.935166666666667 0.935166666666667 0.935166666666667 0.944428571428571 0.944428571428571 0.944428571428571 0.907380952380952 0.879595238095238 0.851809523809524 0.824023809523809 0.8055
7 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 0.722341954022989 1 1 1 1 1
8 0.444767441860465 0.444767441860465 0.444767441860465 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233 0.722383720930233
9 0.774524158125915 0.774524158125915 0.774524158125915 0.758418740849195 0.758418740849195 0.742313323572474 0.710102489019034 0.710102489019034 0.710102489019034 0.702049780380673 0.693997071742313 0.677891654465593 0.693997071742313 0.693997071742313 0.693997071742313
10 0.777908689248895 0.777908689248895 0.777908689248895 0.769366715758468 0.769366715758468 0.769366715758468 0.726656848306333 0.760824742268041 0.769366715758468 0.760824742268041 0.79499263622975 0.79499263622975 0.812076583210604 0.803534609720177 0.803534609720177
11 NA NA 0.791666666666667 0.791666666666667 0.791666666666667 0.861111111111111 0.791666666666667 0.791666666666667 0.791666666666667 0.791666666666667 0.791666666666667 0.826388888888889 0.826388888888889 0.826388888888889 0.826388888888889
12 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.861132218844985 0.884276849037487 0.884276849037487 0.884276849037487 0.884276849037487 0.884276849037487 0.884276849037487 0.884276849037487 0.884276849037487 0.884276849037487 0.861132218844985
13 0.875226237283904 0.875226237283904 0.875226237283904 0.875226237283904 0.875226237283904 0.875226237283904 0.829853959932597 0.875226237283904 0.875226237283904 0.852540098608251 0.81851089059477 0.795824751919116 0.795824751919116 0.784481682581289 0.773138613243463
14 0.861026033690659 0.861026033690659 0.861026033690659 0.861026033690659 0.861026033690659 0.861026033690659 0.83014293006636 0.861026033690659 0.861026033690659 0.83014293006636 0.814701378254211 0.861026033690659 0.861026033690659 0.845584481878509 0.799259826442062
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA 0.730765599924478 0.730765599924478 0.713938449919758 0.747592749929199 0.899037099971679 0.899037099971679 0.899037099971679 0.94951854998584 0.94951854998584 0.94951854998584 0.94951854998584 0.96634569999056 0.932691399981119
17 0.640579044117647 0.705928308823529 0.705928308823529 0.738602941176471 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.673253676470588 0.705928308823529 0.738602941176471 0.738602941176471 0.771277573529412
18 0.953681865828092 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369 0.814727463312369
19 0.911181102362205 0.911181102362205 0.911181102362205 0.911181102362205 0.911181102362205 0.911181102362205 0.911181102362205 0.877874015748031 0.877874015748031 0.90007874015748 0.90007874015748 0.877874015748031 0.844566929133858 0.844566929133858 0.844566929133858
20 NA 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105 0.444532488114105
21 NA 0.586090467949371 0.586090467949371 0.586090467949371 0.586090467949371 0.609742441209406 0.621568427839424 0.621568427839424 0.621568427839424 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.609742441209406 0.562438494689335
22 NA 0.66677367576244 0.55569823434992 0.55569823434992 0.55569823434992 0.66677367576244 0.66677367576244 0.66677367576244 0.66677367576244 0.77784911717496 0.77784911717496 0.77784911717496 0.77784911717496 0.77784911717496 0.77784911717496
23 NA 0.472934472934473 0.472934472934473 0.472934472934473 0.472934472934473 0.472934472934473 0.487179487179487 0.487179487179487 0.487179487179487 0.487179487179487 0.487179487179487 0.487179487179487 0.472934472934473 0.472934472934473 0.472934472934473
24 NA 0.624122390891841 0.640464895635674 0.640464895635674 0.640464895635674 0.803889943074004 0.869259962049336 0.869259962049336 0.869259962049336 0.869259962049336 0.869259962049336 0.869259962049336 0.885602466793169 0.885602466793169 0.869259962049336
25 NA 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742 0.555483870967742
26 NA NA 0.795718690702087 0.795718690702087 0.803889943074004 0.803889943074004 0.795718690702087 0.795718690702087 0.795718690702087 0.795718690702087 0.795718690702087 0.795718690702087 0.803889943074004 0.803889943074004 0.795718690702087
27 NA 0.861066235864297 0.861066235864297 0.861066235864297 0.861066235864297 0.722132471728595 0.722132471728595 0.722132471728595 0.722132471728595 0.583198707592892 0.583198707592892 0.583198707592892 0.722132471728595 0.583198707592892 0.583198707592892
28 0.954633872935281 0.954633872935281 0.954633872935281 0.954633872935281 0.954633872935281 0.943292341169101 0.943292341169101 0.920609277636741 0.943292341169101 0.943292341169101 0.954633872935281 0.954633872935281 0.954633872935281 0.954633872935281 0.943292341169101
29 NA NA 0.82919835431991 0.82919835431991 0.82919835431991 0.82919835431991 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888 0.786497942899888
30 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205 0.954984204984205
31 0.908234805550127 0.908234805550127 0.908234805550127 0.908234805550127 0.908234805550127 0.916577095954661 0.916577095954661 0.908234805550127 0.908234805550127 0.908234805550127 0.916577095954661 0.916577095954661 0.916577095954661 0.916577095954661 0.916577095954661
32 NA 0.485016286644951 0.485016286644951 0.485016286644951 0.495114006514658 0.474918566775244 0.495114006514658 0.495114006514658 0.495114006514658 0.495114006514658 0.495114006514658 0.495114006514658 0.485016286644951 0.495114006514658 0.495114006514658
33 NA 0.722312703583062 0.722312703583062 0.722312703583062 0.722312703583062 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083 0.629750271444083
34 NA 0.576857453078951 0.550411043896386 0.550411043896386 0.576857453078951 0.603303862261517 0.656196680626648 0.656196680626648 0.656196680626648 0.629750271444082 0.629750271444082 0.629750271444082 0.629750271444082 0.629750271444082 0.576857453078951
35 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174 0.924003075091757 0.924003075091757 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174 0.915558972324174
36 0.907563025210084 0.907563025210084 0.907563025210084 0.907563025210084 0.907563025210084 0.915966386554622 0.915966386554622 0.915966386554622 0.915966386554622 0.915966386554622 0.915966386554622 0.915966386554622 0.92436974789916 0.92436974789916 0.92436974789916
37 NA 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091 0.691307510456447 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091 0.660438261502091
38 NA 0.756864754098361 0.756864754098361 0.756864754098361 0.756864754098361 0.722131147540984 0.687397540983607 0.687397540983607 0.687397540983607 0.861065573770492 0.861065573770492 0.861065573770492 0.722131147540984 0.722131147540984 0.722131147540984
39 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.931941377233487 0.940448705079301 0.940448705079301 0.940448705079301
40 0.854208727018224 0.854208727018224 0.854208727018224 0.854208727018224 0.854208727018224 0.854208727018224 0.863320681579585 0.863320681579585 0.863320681579585 0.863320681579585 0.872432636140946 0.872432636140946 0.872432636140946 0.872432636140946 0.872432636140946
