"Assay" "rev_nef_1" "rev_nef_2" "rev_nef_3" "rev_nef_4" "rev_nef_5" "rev_nef_6" "rev_nef_7" "rev_nef_8" "rev_nef_9" "rev_nef_10" "rev_nef_11" "rev_nef_12" "rev_nef_13" "rev_nef_14" "rev_nef_15"
1 0.887701393267795 0.910535250165381 0.910535250165381 0.909951914790806 0.909951914790806 0.90970331537167 0.910374257556252 0.910616381109594 0.910561054834023 0.910567633032939 0.910244102675949 0.920551017269323 0.920551017269323 0.920551017269323 0.920306697858138
2 NA 0.459230347872654 0.452527524252388 0.452527524252388 0.453974734203014 0.455115582028684 0.481372094761056 0.481372094761056 0.481372094761056 0.482125585858998 0.482125585858998 0.542360818109363 0.578905141351152 0.588164662695543 0.593960678263435
3 NA 0.541029732004072 0.540671957881184 0.540671957881184 0.540893378111454 0.541143427116115 0.54424184085333 0.54424184085333 0.54424184085333 0.593029062768008 0.593029062768008 0.593029062768008 0.597388371052497 0.548418501325501 0.54988725101775
4 NA 0.541029732004072 0.540671957881184 0.540671957881184 0.540893378111454 0.541143427116115 0.54424184085333 0.54424184085333 0.54424184085333 0.593029062768008 0.593029062768008 0.593029062768008 0.597388371052497 0.548418501325501 0.54988725101775
5 0.90411044486746 0.894066650697237 0.894066650697237 0.906963507388905 0.906963507388905 0.906763771175227 0.918791957348625 0.90547090253625 0.905520979530714 0.878660794484438 0.839767635223957 0.840743705600299 0.84235104664164 0.829544190161412 0.816831031743293
6 0.937928188148004 0.937928188148004 0.937928188148004 0.928346728475399 0.928346728475399 0.928582415020427 0.928582415020427 0.93790421202885 0.937930912463043 0.938018353090964 0.900243772523188 0.872403370214582 0.844685813907036 0.816607046574791 0.797848257217767
7 0.446389796571001 0.418587934089088 0.417955028412403 0.467237918225449 0.457962024611517 0.460283740436247 0.463596582881838 0.478583763166715 0.521063456630209 0.509882149880955 0.674026861179545 0.701647045420115 0.676680009147075 0.681628310639143 0.658403184469204
8 0.228653234781666 0.201729687322489 0.20061497157275 0.468192255918977 0.45893646378016 0.467040856298472 0.469346420304545 0.469346420304545 0.473480336793791 0.490826122262573 0.475318359728757 0.519572268258422 0.453033336699602 0.458623178219253 0.434796119109924
9 0.761342652376175 0.761342652376175 0.761342652376175 0.74496451121451 0.74496451121451 0.728601806869599 0.69633032899188 0.69633032899188 0.696394598564167 0.688293960263583 0.680252860538919 0.664128052433294 0.680032594842161 0.680141653604381 0.680141653604381
10 0.764468318161808 0.764468318161808 0.764468318161808 0.755758932453187 0.755758932453187 0.755929880948653 0.712701440253846 0.747824313882556 0.756321487703632 0.747938464876435 0.784472365500868 0.784212365168861 0.801686234199812 0.792701288496754 0.792701288496754
