"Assay" "rocauc_1" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
1 0.962360853432282 0.971080705009276 0.97149814471243 0.96878478664193 0.96876159554731 0.968205009276438 0.966280148423006 0.971892393320965 0.966488868274583 0.966280148423006 0.966628014842301 0.967555658627087 0.967578849721707 0.968205009276438 0.969642857142857
2 NA 0.969249692496925 0.966789667896679 0.966789667896679 0.970479704797048 0.968019680196802 0.971709717097171 0.971709717097171 0.971709717097171 0.97539975399754 0.97539975399754 0.988929889298893 0.991389913899139 0.992619926199262 0.992619926199262
3 NA 0.635683518476536 0.640784402629789 0.640784402629789 0.655066878258898 0.666288823396055 0.675697120834278 0.675697120834278 0.675697120834278 0.681591475855815 0.681591475855815 0.681591475855815 0.690319655406937 0.692586715030605 0.685332124234867
4 NA 0.635683518476536 0.640784402629789 0.640784402629789 0.655066878258898 0.666288823396055 0.675697120834278 0.675697120834278 0.675697120834278 0.681591475855815 0.681591475855815 0.681591475855815 0.690319655406937 0.692586715030605 0.685332124234867
5 0.966532797858099 0.968992248062016 0.969085644905202 0.972167740730363 0.972167740730363 0.972728121789484 0.971763021076554 0.970517729834065 0.971171507736372 0.968992248062015 0.953114784720276 0.948133619750319 0.857632078702407 0.828616792752405 0.790230690202671
6 0.978226555246054 0.978226555246054 0.978435468895079 0.975162488393686 0.975232126276695 0.971796657381616 0.971796657381616 0.977390900649954 0.97625348189415 0.974930362116992 0.963091922005571 0.94066852367688 0.891991643454039 0.845891364902507 0.798467966573816
7 0.901426718547341 0.835278858625162 0.846303501945525 0.859273670557717 0.876783398184176 0.878728923476005 0.894941634241245 0.911154345006485 0.929312581063554 0.93579766536965 0.955901426718547 0.958495460440986 0.962386511024643 0.964332036316472 0.968871595330739
8 0.707349081364829 0.7749343832021 0.743438320209974 0.763123359580053 0.77755905511811 0.800524934383202 0.818897637795276 0.818897637795276 0.826115485564304 0.847112860892388 0.85498687664042 0.86745406824147 0.874671916010499 0.886482939632546 0.891076115485564
9 0.896576349506406 0.896576349506406 0.896996429321571 0.886389413988658 0.887061541692922 0.870825456836799 0.737639151438773 0.737639151438773 0.737576139466499 0.707960512497374 0.667611846250788 0.658517118252468 0.670804452846041 0.659231253938248 0.659231253938248
10 0.916579211789662 0.916579211789662 0.916244278218153 0.907156413977894 0.908027241263816 0.897354024785084 0.761036061181199 0.845908228201407 0.846779055487328 0.808529641621078 0.934933571508318 0.936273305794351 0.936898515127833 0.937501395556548 0.937501395556548
