"Assay" "nA_2" "nA_3" "nA_4" "nA_5" "nA_6" "nA_7" "nA_8" "nA_9" "nA_10" "nA_11" "nA_12" "nA_13" "nA_14" "nA_15"
1 2 3 4 5 6 6 7 8 9 10 11 12 13 14
2 1 2 2 3 4 5 6 7 8 9 9 9 10 10
3 1 2 2 3 4 4 5 6 7 8 8 8 9 9
4 1 2 2 3 4 4 5 6 7 8 8 8 9 9
5 2 2 3 4 5 5 6 7 8 9 10 11 12 13
6 2 3 4 5 6 6 7 8 9 10 11 11 12 13
7 2 3 4 5 6 7 8 9 10 11 11 11 12 13
8 2 3 4 5 6 7 8 9 10 11 11 11 12 13
9 1 2 3 4 5 6 7 8 9 10 10 11 11 12
10 2 3 4 5 6 7 8 9 10 11 11 12 12 13
11 2 2 3 4 5 5 6 7 8 9 9 9 10 11
12 2 2 3 3 4 5 6 7 8 9 9 9 10 10
13 2 2 3 4 5 6 7 8 9 10 10 10 10 10
14 2 2 3 4 5 5 6 7 8 9 9 9 10 11
15 2 3 0 0 0 0 0 0 0 0 0 0 0 0
16 1 2 2 3 4 4 5 6 6 7 7 7 8 8
17 2 2 3 4 5 5 6 7 8 9 9 9 10 11
18 1 1 2 3 3 3 4 5 6 7 7 7 8 9
19 1 1 2 3 4 4 5 6 7 8 8 8 9 10
20 1 2 2 3 4 4 5 6 7 8 8 8 9 9
21 0 1 1 1 2 2 3 4 5 6 6 6 7 7
22 1 2 2 3 4 4 5 6 7 8 8 8 9 9
23 1 1 1 2 3 3 4 5 6 7 7 7 8 8
24 1 2 2 3 4 4 5 6 7 8 8 8 9 9
25 1 2 2 3 4 4 5 6 7 8 8 8 9 9
26 1 2 2 3 4 4 5 6 7 8 8 8 9 9
27 1 2 2 3 4 4 5 6 7 8 8 8 9 9
28 1 1 2 3 4 4 5 6 6 7 7 7 7 8
29 1 2 2 3 4 4 5 6 7 8 8 8 9 9
30 1 1 2 2 3 3 3 4 5 6 6 6 7 8
31 2 2 3 4 5 5 6 7 8 9 9 9 10 11
32 1 2 2 3 4 4 5 6 7 8 8 8 9 9
33 1 2 2 3 4 4 5 6 7 8 8 8 9 9
34 1 2 2 2 3 3 4 5 6 7 7 7 8 8
35 2 2 3 4 5 5 6 7 8 9 9 9 9 10
36 2 2 3 4 5 5 6 7 8 9 9 9 9 10
37 1 2 2 3 4 4 5 6 7 8 8 8 9 9
38 1 2 2 3 4 4 5 6 7 8 8 8 9 9
39 2 2 3 4 5 5 6 7 8 9 9 9 9 10
40 1 1 1 1 2 2 3 4 4 5 5 5 6 6
41 1 1 2 3 4 4 4 5 6 7 7 7 8 8
42 1 2 2 3 4 4 5 6 7 8 8 8 9 9
43 0 1 1 2 3 3 4 5 6 7 7 7 7 7
44 1 2 2 3 4 4 5 5 6 7 7 7 8 8
45 0 1 1 2 3 3 4 5 6 7 7 7 8 8
46 0 1 1 1 2 2 3 4 5 6 6 6 7 7
47 1 2 2 2 3 3 4 4 5 6 6 6 7 7
48 1 1 2 3 4 4 5 6 7 8 8 8 8 9
49 0 0 0 0 1 1 2 3 4 5 5 5 6 6
50 1 2 2 3 4 4 5 6 7 8 8 8 9 9
51 2 2 3 4 5 5 6 7 8 9 9 9 10 11
52 2 2 3 3 4 4 5 5 6 7 7 7 7 8
53 1 1 1 2 3 3 4 5 6 7 7 7 7 7
54 0 1 1 2 3 3 4 5 6 7 7 7 8 8
55 1 1 1 2 3 3 4 5 5 6 6 6 7 7
56 1 2 2 3 4 4 5 6 7 8 8 8 9 9
57 0 0 0 1 2 2 3 4 5 6 6 6 7 7
58 1 1 1 1 2 2 2 2 2 3 3 3 4 4
59 0 0 0 1 2 2 3 4 5 6 6 6 6 6
60 0 1 1 2 3 3 4 5 6 7 7 7 7 7
61 1 1 2 2 3 3 3 4 5 6 6 6 7 8
62 0 0 0 1 2 3 4 5 6 7 7 7 8 8
63 2 2 3 4 5 5 6 7 8 9 9 9 9 10
64 2 2 3 4 5 5 5 6 7 8 8 8 9 10
65 0 1 1 2 3 3 4 4 5 6 6 6 7 7
66 1 1 1 2 3 3 4 5 5 6 6 6 6 6
67 1 1 1 2 3 3 3 4 5 6 6 6 7 7
68 0 1 1 2 3 3 3 3 4 5 5 5 6 6
69 1 2 2 3 4 4 5 5 6 7 7 7 8 8
70 1 1 1 2 3 3 3 4 5 6 6 6 7 7
71 1 2 2 3 4 4 5 6 7 8 8 8 8 8
72 1 1 1 2 3 3 4 4 5 6 6 6 7 7
73 2 2 3 4 5 5 6 6 7 8 8 8 9 10
74 2 2 3 4 5 5 5 6 7 8 8 8 8 9
75 2 2 2 3 4 4 5 6 7 8 8 8 8 9
76 1 2 2 3 4 4 5 6 7 8 8 8 9 9
77 1 2 2 3 4 4 5 5 6 7 7 7 7 7
78 1 2 2 3 4 4 5 6 7 8 8 8 9 9
79 0 1 1 1 2 2 3 4 5 6 6 6 7 7
80 0 1 1 2 3 3 4 5 6 7 7 7 8 8
81 0 1 1 2 3 3 4 5 6 7 7 7 8 8
82 0 1 1 2 3 3 4 5 6 7 7 7 8 8
83 0 1 1 2 3 3 4 5 6 7 7 7 8 8
84 0 1 1 2 3 3 4 5 6 7 7 7 8 8
85 0 1 1 2 3 3 4 5 6 7 7 7 8 8
86 0 1 1 2 3 3 4 5 6 7 7 7 8 8
87 0 1 1 2 3 3 4 5 6 7 7 7 8 8
88 0 1 1 2 3 3 4 5 6 7 7 7 8 8
89 0 1 1 2 3 3 4 5 6 7 7 7 8 8
90 0 1 1 2 3 3 4 5 6 7 7 7 8 8
91 0 1 1 2 3 3 4 5 6 7 7 7 8 8
92 0 1 1 2 3 3 4 5 6 7 7 7 8 8
93 0 1 1 2 3 3 4 5 6 7 7 7 8 8
94 0 1 1 2 3 3 4 5 6 7 7 7 8 8
95 0 1 1 2 3 3 4 5 6 7 7 7 8 8
96 0 1 1 2 3 3 4 5 6 7 7 7 8 8
97 1 2 2 3 4 4 4 4 5 6 6 6 7 7
98 0 1 1 2 3 3 4 5 6 7 7 7 8 8
99 0 1 1 2 3 3 4 5 6 7 7 7 8 8
100 0 1 1 2 3 3 4 5 6 7 7 7 8 8
