"Assay" "rocauc_2" "rocauc_3" "rocauc_4" "rocauc_5" "rocauc_6" "rocauc_7" "rocauc_8" "rocauc_9" "rocauc_10" "rocauc_11" "rocauc_12" "rocauc_13" "rocauc_14" "rocauc_15"
1 0.963705936920223 0.964424860853432 0.949257884972171 0.950556586270872 0.95139146567718 0.95139146567718 0.948910018552876 0.95 0.956818181818182 0.957305194805195 0.95067254174397 0.949860853432282 0.951762523191095 0.953733766233766
2 0.96309963099631 0.96309963099631 0.96309963099631 0.970479704797048 0.970479704797048 0.977859778597786 0.977859778597786 0.977859778597786 0.979089790897909 0.979089790897909 0.979089790897909 0.979089790897909 0.979089790897909 0.979089790897909
3 0.480956699161188 0.462253457265926 0.462253457265926 0.459759691679891 0.455678984357289 0.455678984357289 0.446497392881433 0.445930627975516 0.44139650872818 0.568351847653593 0.568351847653593 0.568351847653593 0.576853321242349 0.576853321242349
4 0.480956699161188 0.462253457265926 0.462253457265926 0.459759691679891 0.455678984357289 0.455678984357289 0.446497392881433 0.445930627975516 0.44139650872818 0.568351847653593 0.568351847653593 0.568351847653593 0.576853321242349 0.576853321242349
5 0.963014850098067 0.963014850098067 0.93754864418916 0.938918464555898 0.939821300706703 0.939821300706703 0.940599607733259 0.941502443884063 0.949378910992808 0.949472307835995 0.939011861399085 0.938264686653591 0.94243641231593 0.945860963232776
6 0.969893221912721 0.970519962859796 0.97158774373259 0.978505106778087 0.978667595171773 0.978667595171773 0.975951717734448 0.976415970287837 0.97883008356546 0.97924791086351 0.980849582172702 0.980849582172702 0.981197771587744 0.980222841225627
7 0.885862516212711 0.860570687418936 0.8715953307393 0.879377431906615 0.88715953307393 0.892347600518807 0.898832684824903 0.905966277561608 0.909208819714656 0.909208819714656 0.909208819714656 0.909208819714656 0.888456549935149 0.896238651102464
8 0.591207349081365 0.640419947506562 0.64238845144357 0.643700787401575 0.665354330708661 0.667322834645669 0.687664041994751 0.705380577427821 0.71259842519685 0.631889763779528 0.631889763779528 0.631889763779528 0.658136482939633 0.662073490813648
9 0.876244486452426 0.862927956311699 0.873030875866415 0.872652804032766 0.866078554925436 0.859630329762655 0.863369040117622 0.867023734509557 0.875299306868305 0.882713715605965 0.882713715605965 0.886221382062592 0.886221382062592 0.883889939088427
10 0.905437088310818 0.901708161214692 0.916400580551524 0.916690856313498 0.908563134978229 0.907000111644524 0.909500948978453 0.911711510550408 0.914480294741543 0.918454839790108 0.918454839790108 0.920084849838115 0.920084849838115 0.918052919504298
11 0.907113259668508 0.907113259668508 0.906077348066298 0.907372237569061 0.909098756906077 0.909098756906077 0.911170580110497 0.912206491712707 0.910997928176796 0.91453729281768 0.91453729281768 0.91453729281768 0.912810773480663 0.914796270718232
12 0.880893446487506 0.880893446487506 0.880834512022631 0.880834512022631 0.884842055634135 0.882838283828383 0.886786892975012 0.887199434229137 0.887258368694012 0.896452145214521 0.896452145214521 0.896452145214521 0.895862800565771 0.895862800565771
13 0.910059599060863 0.910059599060863 0.910210101739811 0.910691710312444 0.91418337246403 0.915808801396665 0.918939257118777 0.920564686051412 0.919812172656673 0.925139967491421 0.925139967491421 0.925139967491421 0.925139967491421 0.925139967491421
14 0.89951690821256 0.89951690821256 0.899677938808374 0.900885668276973 0.904066022544283 0.904066022544283 0.90768921095008 0.90841384863124 0.908695652173913 0.912882447665056 0.912882447665056 0.912882447665056 0.914251207729469 0.915257648953301
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 0.888413547237077 0.897905525846702 0.897905525846702 0.908377896613191 0.912477718360071 0.912477718360071 0.953743315508021 0.954857397504456 0.954857397504456 0.955793226381462 0.955793226381462 0.955793226381462 0.955169340463458 0.955169340463458
17 0.727496185794202 0.727496185794202 0.721902017291066 0.726818104763519 0.694185455161892 0.694185455161892 0.689947448720122 0.698508221732497 0.699355823020851 0.70562807255467 0.70562807255467 0.70562807255467 0.720291574843194 0.720461095100865
18 0.95083932853717 0.95083932853717 0.94832134292566 0.951558752997602 0.951558752997602 0.951558752997602 0.953597122302158 0.95599520383693 0.952757793764988 0.952757793764988 0.952757793764988 0.952757793764988 0.961630695443645 0.95515587529976
19 0.973679389312977 0.973679389312977 0.974167938931298 0.975297709923664 0.976458015267176 0.976458015267176 0.977893129770992 0.978900763358779 0.976824427480916 0.976824427480916 0.976824427480916 0.976824427480916 0.980671755725191 0.979236641221374
20 0.65 0.705714285714286 0.705714285714286 0.707142857142857 0.73 0.73 0.751428571428571 0.77 0.625714285714286 0.68 0.68 0.68 0.697142857142857 0.697142857142857
21 NA 0.758657937806874 0.758657937806874 0.758657937806874 0.76291325695581 0.76291325695581 0.77152209492635 0.778068739770867 0.773355155482815 0.793813420621931 0.793813420621931 0.793813420621931 0.84366612111293 0.84366612111293
22 0.571761280931587 0.614847161572052 0.614847161572052 0.616593886462882 0.634061135371179 0.634061135371179 0.651819505094614 0.66783114992722 0.673071324599709 0.625327510917031 0.625327510917031 0.625327510917031 0.648034934497817 0.648034934497817
23 0.687384300287526 0.687384300287526 0.687384300287526 0.690929142542046 0.703966284611446 0.703966284611446 0.717003426680846 0.72661388790421 0.730434440111859 0.745480326125487 0.745480326125487 0.745480326125487 0.787585174681949 0.787585174681949
24 0.761607543780871 0.76865738661877 0.76865738661877 0.769914683430624 0.779479119892232 0.779479119892232 0.845846430175124 0.849079479119892 0.849932644813651 0.860260440053884 0.860260440053884 0.860260440053884 0.858778625954198 0.858778625954198
25 0.791228070175439 0.785380116959064 0.785380116959064 0.787719298245614 0.770760233918129 0.770760233918129 0.780994152046784 0.762280701754386 0.765497076023392 0.758479532163743 0.758479532163743 0.758479532163743 0.764035087719298 0.764035087719298
26 0.943876101165104 0.916216728237189 0.916216728237189 0.921687032300843 0.920242493132519 0.920242493132519 0.918229610684854 0.920218812162546 0.922089608790376 0.919982002462821 0.919982002462821 0.919982002462821 0.922705314009662 0.922705314009662
27 0.872076023391813 0.853801169590643 0.853801169590643 0.857090643274854 0.863669590643275 0.863669590643275 0.868421052631579 0.876827485380117 0.869883040935672 0.878289473684211 0.878289473684211 0.878289473684211 0.871710526315789 0.871710526315789
28 0.966018332215515 0.966018332215515 0.96783877870397 0.96828590591166 0.96886078375012 0.96886078375012 0.966305771134745 0.965028264827058 0.965028264827058 0.965028264827058 0.965028264827058 0.965028264827058 0.965028264827058 0.965379579061672
29 0.84775641025641 0.82154304029304 0.82154304029304 0.817994505494505 0.823031135531135 0.823031135531135 0.829555860805861 0.835851648351648 0.830815018315018 0.847413003663004 0.847413003663004 0.847413003663004 0.83264652014652 0.83264652014652
30 0.958143615021513 0.958143615021513 0.961443669326204 0.961443669326204 0.963239901416099 0.963239901416099 0.963239901416099 0.964910814988095 0.964827269309495 0.962738627344501 0.962738627344501 0.962738627344501 0.960775303897406 0.960357575504407
31 0.956728600139453 0.956728600139453 0.95882039292892 0.961486403346868 0.963373118411878 0.963373118411878 0.957856527623969 0.959374102784955 0.959702227144088 0.959927812640991 0.959927812640991 0.959927812640991 0.957836019851524 0.957630942127066
32 0.671741336813107 0.723010004349717 0.723010004349717 0.724575902566333 0.732115412498188 0.732115412498188 0.729911555748876 0.736262142960708 0.731419457735247 0.752153110047847 0.752153110047847 0.752153110047847 0.751805132666377 0.751805132666377
33 0.870808678500986 0.836538461538462 0.836538461538462 0.84146942800789 0.85034516765286 0.85034516765286 0.77465483234714 0.789201183431953 0.792652859960552 0.810897435897436 0.810897435897436 0.810897435897436 0.796844181459566 0.796844181459566
34 0.802031553922628 0.717239391974642 0.717239391974642 0.717239391974642 0.732007780419278 0.732007780419278 0.749153519198905 0.75743822491175 0.753115769757222 0.785390101577696 0.785390101577696 0.785390101577696 0.741733304516966 0.741733304516966
35 0.948374980837038 0.948374980837038 0.949927180745056 0.95282078798099 0.95487122489652 0.95487122489652 0.952188410240687 0.953223210179365 0.953491491644949 0.95479457304921 0.95479457304921 0.95479457304921 0.95479457304921 0.954813736011038
36 0.95009391992091 0.95009391992091 0.952130499258527 0.95387048937222 0.953099357390015 0.953099357390015 0.948057340583292 0.94819574888779 0.948393475037074 0.949105289174493 0.949105289174493 0.949105289174493 0.949105289174493 0.948927335640138
37 0.868549336022861 0.797865187426458 0.797865187426458 0.788956127080181 0.801479240208438 0.801479240208438 0.801395192469323 0.809631870902673 0.804589006555724 0.826021180030257 0.826021180030257 0.826021180030257 0.791729702471003 0.791729702471003
38 0.891238670694864 0.876699395770393 0.876699395770393 0.879437311178248 0.888406344410876 0.888406344410876 0.899074773413897 0.900302114803625 0.888311933534743 0.890672205438066 0.890672205438066 0.890672205438066 0.878965256797583 0.878965256797583
39 0.944483602908443 0.944483602908443 0.945652173913043 0.947729633476777 0.947692535984567 0.947692535984567 0.943519068110996 0.944094079240243 0.944186822970767 0.942202107137557 0.942202107137557 0.942202107137557 0.942202107137557 0.942202107137557
40 0.960586544602938 0.960586544602938 0.960586544602938 0.960586544602938 0.962263146689376 0.962263146689376 0.95576964019587 0.953773685331062 0.953773685331062 0.954332552693208 0.954332552693208 0.954332552693208 0.952815626995955 0.952815626995955
41 0.94394358653932 0.94394358653932 0.944122110149067 0.947603320539141 0.949924127465857 0.949924127465857 0.949924127465857 0.952869767026689 0.952244934392573 0.951709363563331 0.951709363563331 0.951709363563331 0.953494599660805 0.953494599660805
42 0.941176470588235 0.926631182894375 0.926631182894375 0.923969899972469 0.928420666238414 0.928420666238414 0.93213728549142 0.933926768835459 0.933146737634211 0.94030467101037 0.94030467101037 0.94030467101037 0.933009085069285 0.933009085069285
43 NA 0.800653594771242 0.800653594771242 0.805555555555556 0.812719959778783 0.812719959778783 0.819884364002011 0.827677224736048 0.814982403217697 0.826797385620915 0.826797385620915 0.826797385620915 0.826797385620915 0.826797385620915
44 0.883359456635319 0.876175548589342 0.876175548589342 0.879223267154302 0.883490073145246 0.883490073145246 0.882096830372692 0.882096830372692 0.88205329153605 0.876872169975618 0.876872169975618 0.876872169975618 0.874303378613723 0.874303378613723
45 NA 0.738148148148148 0.738148148148148 0.741975308641975 0.75320987654321 0.75320987654321 0.764691358024691 0.76320987654321 0.759814814814815 0.759135802469136 0.759135802469136 0.759135802469136 0.780246913580247 0.780246913580247
46 NA 0.709478021978022 0.709478021978022 0.709478021978022 0.717065672422815 0.717065672422815 0.720761381475667 0.725013082155939 0.725732600732601 0.748724489795918 0.748724489795918 0.748724489795918 0.747121925693354 0.747121925693354
47 0.925279828530603 0.911169326030007 0.911169326030007 0.911169326030007 0.916825434627292 0.916825434627292 0.920814479638009 0.920814479638009 0.913967611336032 0.917658966420576 0.917658966420576 0.917658966420576 0.910216718266254 0.910216718266254
48 0.924460431654676 0.924460431654676 0.924038160775727 0.925195495777291 0.924460431654676 0.924460431654676 0.920863309352518 0.922380356584298 0.922395996246481 0.921723490772599 0.921723490772599 0.921723490772599 0.921723490772599 0.923021582733813
49 NA NA NA NA 0.571078431372549 0.571078431372549 0.584119496855346 0.594755826859045 0.595680725120237 0.630965593784684 0.630965593784684 0.630965593784684 0.618294487606363 0.618294487606363
50 0.896240601503759 0.874812030075188 0.874812030075188 0.880075187969925 0.891353383458647 0.891353383458647 0.903383458646617 0.913157894736842 0.895864661654135 0.895864661654135 0.895864661654135 0.895864661654135 0.861654135338346 0.861654135338346
51 0.890587556581166 0.890587556581166 0.891186651282506 0.89131978343836 0.8929173693086 0.8929173693086 0.885195704269104 0.884530043489838 0.884108458329635 0.88186740037277 0.88186740037277 0.88186740037277 0.881246116978788 0.887547705689181
52 0.948582933250736 0.948582933250736 0.949622779265028 0.949622779265028 0.949313037899069 0.949313037899069 0.943383703179274 0.943383703179274 0.943560698245536 0.944556295493263 0.944556295493263 0.944556295493263 0.944556295493263 0.94468904179296
