"Assay" "nA_1" "nA_2" "nA_3" "nA_4" "nA_5" "nA_6" "nA_7" "nA_8" "nA_9" "nA_10" "nA_11" "nA_12" "nA_13" "nA_14" "nA_15"
1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2 0 1 2 2 3 4 5 5 5 6 6 7 8 9 10
3 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
4 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
6 1 1 2 3 4 5 5 6 7 8 9 10 11 12 13
7 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
8 1 2 3 4 5 6 7 7 8 9 10 11 12 13 14
9 1 1 2 3 4 5 6 6 7 8 9 10 11 12 12
10 1 1 2 3 4 5 6 7 8 9 10 11 12 13 13
11 0 0 1 1 2 3 4 4 4 5 6 7 7 8 9
12 1 2 3 3 4 5 6 7 7 8 9 10 11 12 13
13 1 1 2 2 3 4 5 6 7 8 9 10 10 11 12
14 1 1 2 2 3 4 5 6 7 8 9 10 11 12 13
15 1 2 3 4 5 6 6 6 7 8 8 9 10 11 12
16 0 0 1 1 2 3 4 4 4 5 5 5 5 6 7
17 1 2 3 4 5 6 6 7 8 9 9 10 11 12 13
18 1 2 3 3 3 4 5 5 5 6 7 7 7 8 9
19 1 1 2 2 3 4 4 5 6 7 8 9 10 10 11
20 0 1 2 2 3 4 5 5 5 6 7 7 8 9 9
21 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
22 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
23 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
24 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
25 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
26 0 0 1 1 2 3 4 4 4 4 4 4 5 5 6
27 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
28 1 1 2 2 3 4 4 5 6 7 8 9 10 10 11
29 0 0 1 1 2 3 4 4 4 5 5 5 5 6 7
30 1 2 3 3 4 4 4 4 5 6 7 8 9 9 9
31 1 1 2 2 3 4 5 6 7 8 9 10 11 11 12
32 0 1 2 2 3 4 5 5 5 6 6 6 7 8 8
33 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
34 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
35 1 1 2 2 3 4 4 5 6 7 7 8 9 10 11
36 1 1 2 2 3 4 4 5 6 6 6 7 8 8 9
37 0 1 2 2 3 4 5 5 5 5 5 5 6 6 7
38 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
39 1 1 2 2 3 4 4 5 6 7 7 8 9 9 10
40 1 1 2 2 3 4 5 5 6 7 8 9 10 11 12
41 1 1 2 2 3 3 3 4 5 6 7 7 8 9 9
42 0 0 1 1 2 3 4 4 4 4 4 4 5 6 7
43 0 0 1 1 2 3 4 4 4 4 4 4 5 6 7
44 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
45 0 1 2 2 3 4 5 5 5 6 6 6 7 8 9
46 0 1 2 2 3 4 5 5 5 6 6 6 6 7 7
47 0 1 2 2 3 4 5 5 5 6 6 6 7 8 8
48 1 2 3 3 4 5 5 6 7 8 9 10 11 12 13
49 0 0 1 1 2 3 3 3 3 4 4 4 4 4 4
50 0 0 1 1 2 3 4 4 4 4 4 4 5 6 7
51 1 1 2 2 3 4 5 5 6 7 7 8 9 9 10
