"assays" "total_hit" "orig_Boise_L1" "orig_Boise_L2" "block_Boise" "fast_Boise" "rand_Boise"
"alquist..24.hours.10.uM.screen..1A.and.2B..1A..OD." 27 18 15 16 17 12.52
"alquist..24.hours.10.uM.screen..1A.and.2B..2B..OD." 35 21 19 21 23 16.4
"alquist..24.hours.1.uM.screen..1A.and.2B..1A..OD." 14 7 7 8 6 5.76
"alquist..24.hours.1.uM.screen..1A.and.2B..2B..OD." 17 12 12 12 8 8.08
"alquist..KBA01..1A...negative.control...." 0 NA NA NA NA NA
"alquist..KBA01..2B...negative.control...." 0 NA NA NA NA NA
"hoskins..AFUMSF3B1..OD600...negative.control...." 23 12 13 17 8 11.84
"hull..10h.Germination.FDA.4.plates..NanoLuc...negative.control...." 28 9 13 17 13 11.8
"hull..10h.Germination.FDA.4.plates..OD600...negative.control...." 0 NA NA NA NA NA
"hull..12h.Yeast.9.30.16..OD600...negative.control...." 48 16 14 17 14 12.28
"hull..22h.Germination.10.6.16..OD600...inhibition...." 0 NA NA NA NA NA
"hull..22h.Germination.10.6.16..OD600...negative.control...." 53 19 19 22 14 16.28
"hull..22h.Germination.9.30.16..OD600...inhibition...." 0 NA NA NA NA NA
"hull..22h.Germination.9.30.16..OD600...negative.control...." 38 16 16 20 17 13.92
"hull..OD600.measurement..OD600" 0 NA NA NA NA NA
"hull..Selleck.FDA..Nano.Glo..LUC." 0 NA NA NA NA NA
"hull..Selleck.FDA.for.yeast.construct..Nano.Glo..LUC." 0 NA NA NA NA NA
"hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..Nano.Glo..LUC." 0 NA NA NA NA NA
"hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..OD600" 36 20 21 21 18 16.12
"keck..AlphaScreen.KpnDnaG..Intensity..Counts." 9 7 7 6 7 5.76
"keck..AlphaScreen.KpnPriA..Intensity..Counts." 15 11 6 8 10 8.04
"keck..FDA.primary.screen..OD600...negative.control...." 20 10 9 12 7 7.8
"keck..FP.KpnDnaG..FP..mP." 8 7 7 7 7 6.96
"keck..FP.KpnPriA..FP..mP." 7 6 6 6 6 6.04
"keck..KpnPriA.Alphascreen...AV..Intensity...negative.control...." 18 11 9 12 11 9.92
"senes..Alpha.screen.raw..Alpha..Rlu." 16 10 10 9 10 8
"xing..MTDH.SND1.for.FDA..RATIO" 6 4 4 5 4 4.6
