"assays" "orig_Boise_L1" "orig_Boise_L2" "block_Boise" "fast_Boise" "rand_Boise"
"alquist..24.hours.10.uM.screen..1A.and.2B..1A..OD." 0.773582004305611 0.752998550151575 0.753291205897841 0.773582004305611 0.69207152585563
"alquist..24.hours.10.uM.screen..1A.and.2B..2B..OD." 0.777698695136418 0.745941365870191 0.762102234258632 0.777698695136418 0.694494492458905
"alquist..24.hours.1.uM.screen..1A.and.2B..1A..OD." 0.722123368920522 0.722123368920522 0.762102234258632 0.682426707337739 0.664960176241315
"alquist..24.hours.1.uM.screen..1A.and.2B..2B..OD." 0.836543158188542 0.836543158188542 0.836736827432395 0.705777684739376 0.701854720535901
"alquist..KBA01..1A...negative.control...." NA NA NA NA NA
"alquist..KBA01..2B...negative.control...." NA NA NA NA NA
"hoskins..AFUMSF3B1..OD600...negative.control...." 0.734173293400806 0.758339357637096 0.855175615039455 0.637509036455644 0.719673654859031
"hull..10h.Germination.FDA.4.plates..NanoLuc...negative.control...." 0.603033384172174 0.702275038129131 0.742277420446852 0.682426707337739 0.672105575326216
"hull..10h.Germination.FDA.4.plates..OD600...negative.control...." NA NA NA NA NA
"hull..12h.Yeast.9.30.16..OD600...negative.control...." 0.617919632265718 0.606341439304073 0.629936808846762 0.594763246342428 0.578090648477659
"hull..22h.Germination.10.6.16..OD600...inhibition...." NA NA NA NA NA
"hull..22h.Germination.10.6.16..OD600...negative.control...." 0.643479039369726 0.643479039369726 0.664848430653671 0.58056357572909 0.60824637973097
"hull..22h.Germination.9.30.16..OD600...inhibition...." NA NA NA NA NA
"hull..22h.Germination.9.30.16..OD600...negative.control...." 0.678248111381657 0.678248111381657 0.722452606635071 0.678248111381657 0.636127864144347
"hull..OD600.measurement..OD600" NA NA NA NA NA
"hull..Selleck.FDA..Nano.Glo..LUC." NA NA NA NA NA
"hull..Selleck.FDA.for.yeast.construct..Nano.Glo..LUC." NA NA NA NA NA
"hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..Nano.Glo..LUC." NA NA NA NA NA
"hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..OD600" 0.737560959536048 0.768436140767102 0.753291205897841 0.722123368920522 0.684455647818637
"keck..AlphaScreen.KpnDnaG..Intensity..Counts." 0.876499275075788 0.814748912613681 0.814968404423381 0.876499275075788 0.797458811124291
"keck..AlphaScreen.KpnPriA..Intensity..Counts." 0.851799130090945 0.666548042704626 0.740955766192733 0.814748912613681 0.736202451561882
"keck..FDA.primary.screen..OD600...negative.control...." 0.72209026128266 0.694299287410926 0.777935943060498 0.638717339667458 0.652057007125891
"keck..FP.KpnDnaG..FP..mP." 0.93053084223013 0.93053084223013 0.930613151658768 0.93053084223013 0.924973309608541
"keck..FP.KpnPriA..FP..mP." 0.920606676834435 0.920606676834435 0.920700744752877 0.920606676834435 0.920606676834435
"keck..KpnPriA.Alphascreen...AV..Intensity...negative.control...." 0.783873731382628 0.722123368920522 0.784129805160611 0.752998550151575 0.740648477659154
"senes..Alpha.screen.raw..Alpha..Rlu." 0.791592526690391 0.791592526690391 0.722452606635071 0.756857947805457 0.711008303677343
"xing..MTDH.SND1.for.FDA..RATIO" 0.814748912613681 0.722123368920522 0.90748420221169 0.814748912613681 0.870324238829577
