"assays" "orig_Boise_L1" "orig_Boise_L2" "block_Boise" "fast_Boise" "rand_Boise"
"alquist..24.hours.10.uM.screen..1A.and.2B..1A..OD." 0.847212047212047 0.802645502645503 0.838420838420838 0.84004884004884 0.78031746031746
"alquist..24.hours.10.uM.screen..1A.and.2B..2B..OD." 0.858520747545138 0.854117833386126 0.85337345581248 0.863462147608489 0.828591700981945
"alquist..24.hours.1.uM.screen..1A.and.2B..1A..OD." 0.731194861476552 0.723843058350101 0.759479956663055 0.694435845844297 0.722589382448537
"alquist..24.hours.1.uM.screen..1A.and.2B..2B..OD." 0.884622762148338 0.88519820971867 0.861061381074169 0.77675831202046 0.820143222506394
"alquist..KBA01..1A...negative.control...." NA NA NA NA NA
"alquist..KBA01..2B...negative.control...." NA NA NA NA NA
"hoskins..AFUMSF3B1..OD600...negative.control...." 0.813943521120053 0.782656316967475 0.886375541692462 0.749749988094671 0.839043763988761
"hull..10h.Germination.FDA.4.plates..NanoLuc...negative.control...." 0.791686311488292 0.774438158101524 0.826929121483577 0.792747131856043 0.808692440672639
"hull..10h.Germination.FDA.4.plates..OD600...negative.control...." NA NA NA NA NA
"hull..12h.Yeast.9.30.16..OD600...negative.control...." 0.708907480314961 0.666092519685039 0.711086895388076 0.664170884889389 0.662528121484814
"hull..22h.Germination.10.6.16..OD600...inhibition...." NA NA NA NA NA
"hull..22h.Germination.10.6.16..OD600...negative.control...." 0.74051267822078 0.736777512165969 0.741515837104072 0.664336634508666 0.714599163322804
"hull..22h.Germination.9.30.16..OD600...inhibition...." NA NA NA NA NA
"hull..22h.Germination.9.30.16..OD600...negative.control...." 0.779125929395235 0.766304666003161 0.809598384169545 0.757815701656812 0.76408992447749
"hull..OD600.measurement..OD600" NA NA NA NA NA
"hull..Selleck.FDA..Nano.Glo..LUC." NA NA NA NA NA
"hull..Selleck.FDA.for.yeast.construct..Nano.Glo..LUC." NA NA NA NA NA
"hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..Nano.Glo..LUC." NA NA NA NA NA
"hull..Copy.of.Selleck.FDA.1.for.06.2015.NanoLuc.OD..OD600" 0.876711061783204 0.840670859538784 0.847083487483044 0.850012331976816 0.818288321617956
"keck..AlphaScreen.KpnDnaG..Intensity..Counts." 0.864463601532567 0.856800766283525 0.817528735632184 0.872485632183908 0.83919061302682
"keck..AlphaScreen.KpnPriA..Intensity..Counts." 0.868908170643529 0.824801156905278 0.807736804049168 0.864859002169197 0.827010845986985
"keck..FDA.primary.screen..OD600...negative.control...." 0.836954148471616 0.817248908296943 0.853766375545852 0.746561135371179 0.794624454148471
"keck..FP.KpnDnaG..FP..mP." 0.954386437029064 0.953444564047363 0.931108719052745 0.956673842841765 0.92802475780409
"keck..FP.KpnPriA..FP..mP." 0.949308755760369 0.948233486943164 0.92457757296467 0.951612903225806 0.930513056835638
"keck..KpnPriA.Alphascreen...AV..Intensity...negative.control...." 0.895417724579857 0.85709104098658 0.900556160077379 0.893664611292468 0.884502478539475
"senes..Alpha.screen.raw..Alpha..Rlu." 0.88850434310532 0.886739956568947 0.832043973941368 0.888368621064061 0.849481541802389
"xing..MTDH.SND1.for.FDA..RATIO" 0.800751879699248 0.844611528822055 0.92749731471536 0.848549946294307 0.861181525241676
