"ids" "nef_50" "nef_100" "nef_200" "nef_1000" "nef_500"
1 NA NA NA NA NA
2 NA NA NA NA NA
3 0.605257542701672 0.621629215038227 0.63514245735829 0.608115972718163 0.5946027303981
4 NA NA NA NA NA
5 NA NA NA NA NA
6 0.65364195836713 0.615436871687968 0.617049295706047 0.662197168212282 0.638010807941085
7 NA NA NA NA NA
8 NA NA NA NA NA
9 0.757747882021732 0.818310911516299 0.818310911516299 0.848592426263582 0.848592426263582
10 NA NA NA NA NA
11 NA NA NA NA NA
12 NA NA NA NA NA
13 0.933333173618265 0.958819063686208 0.958819063686208 0.958819063686208 0.958819063686208
14 0.625185408854886 0.567134947572089 0.563606156383818 0.639475166931645 0.632417584555102
15 NA NA NA NA NA
16 NA NA NA NA NA
17 NA NA NA NA NA
18 NA NA NA NA NA
19 0.492602158641973 0.489643570645717 0.492602158641973 0.504436510627 0.497040040636358
20 NA NA NA NA NA
21 0.7500923993285 0.658239349924919 0.658239349924919 0.681579101637363 0.668242100658823
22 0.859584699227516 0.859584699227516 0.859584699227516 0.868945719279015 0.864265209253265
23 0.833457433606354 0.833457433606354 0.833457433606354 0.848597666914867 0.833457433606354
24 NA NA NA NA NA
25 NA NA NA NA NA
26 NA NA NA NA NA
27 NA NA NA NA NA
28 NA NA NA NA NA
29 NA NA NA NA NA
30 NA NA NA NA NA
31 NA NA NA NA NA
32 NA NA NA NA NA
33 NA NA NA NA NA
34 NA NA NA NA NA
35 0.868083691444785 0.968591355105901 0.970161787350606 0.959168761637671 0.955242681025909
36 NA NA NA NA NA
37 NA NA NA NA NA
38 NA NA NA NA NA
39 NA NA NA NA NA
40 NA NA NA NA NA
41 NA NA NA NA NA
42 NA NA NA NA NA
43 NA NA NA NA NA
44 NA NA NA NA NA
45 NA NA NA NA NA
46 0.744988190520195 0.773238740770135 0.790116010063961 0.824303299146326 0.803964025894793
47 NA NA NA NA NA
48 NA NA NA NA NA
49 NA NA NA NA NA
50 0.529469783474866 0.582263071245894 0.574830029808988 0.706642631290118 0.604562195556612
51 NA NA NA NA NA
52 NA NA NA NA NA
53 NA NA NA NA NA
54 NA NA NA NA NA
55 NA NA NA NA NA
56 0.950855190106061 0.839492186251638 0.839492186251638 0.853363231884212 0.849400075989191
57 NA NA NA NA NA
58 0.845310547481635 0.713128457164991 0.719297737656067 0.73549209894514 0.724695858085758
59 NA NA NA NA NA
60 NA NA NA NA NA
61 0.820182501341922 0.74861874254273 0.751107665883891 0.769774590942599 0.759818897577955
62 NA NA NA NA NA
63 NA NA NA NA NA
64 NA NA NA NA NA
65 NA NA NA NA NA
66 NA NA NA NA NA
67 NA NA NA NA NA
68 0.578311164937045 0.54097112585901 0.553377311646605 0.603002054796982 0.553377311646605
69 NA NA NA NA NA
70 0.610362184046395 0.624277820330452 0.624277820330452 0.605723638618376 0.596446547762337
71 NA NA NA NA NA
72 0.787580141342146 0.611231649309166 0.616280588928528 0.636476347405974 0.626378468167251
73 NA NA NA NA NA
74 NA NA NA NA NA
75 NA NA NA NA NA
76 0.463932304412612 0.488637887848832 0.492251754365801 0.52658348627701 0.512128020209133
77 0.485268200099417 0.485268200099417 0.485268200099417 0.485268200099417 0.485268200099417
78 NA NA NA NA NA
79 0.694485723278924 0.695458698682495 0.694485723278924 0.708107378928909 0.69594518638428
80 NA NA NA NA NA
81 NA NA NA NA NA
82 0.576388888888889 0.565545676666214 0.549454775802 0.6395638206416 0.633127460295914
83 NA NA NA NA NA
84 0.490978530296545 0.488255407132645 0.510589611375433 0.511560663733815 0.504277771045949
85 0.543215303021903 0.530985281563183 0.530985281563183 0.519545898186675 0.519545898186675
86 NA NA NA NA NA
87 0.63529742803902 0.59164218848475 0.603759630962948 0.642535446893179 0.625571027423703
88 NA NA NA NA NA
89 NA NA NA NA NA
90 0.90573098271798 0.908424383211752 0.898324131360107 0.954212191605876 0.911791133828967
91 0.726589603660832 0.865946189785835 0.869458516691009 0.913947990823221 0.889947090304528
92 NA NA NA NA NA
93 NA NA NA NA NA
94 NA NA NA NA NA
95 NA NA NA NA NA
96 0.684198688991319 0.714859010448473 0.702594881865611 0.717925042594188 0.702594881865611
97 NA NA NA NA NA
98 0.516337553289326 0.515484340783391 0.497315003562769 0.515484340783391 0.515484340783391
99 0.646468068630061 0.625591460543135 0.648991994259189 0.695793061691297 0.672392527975243
100 NA NA NA NA NA
101 NA NA NA NA NA
102 NA NA NA NA NA
