"ids" "nef_50" "nef_100" "nef_200" "nef_1000"
1 NA NA NA NA
2 NA NA NA NA
3 NA NA NA NA
4 NA NA NA NA
5 NA NA NA NA
6 NA NA NA NA
7 NA NA NA NA
8 NA NA NA NA
9 0.771244566341644 0.803923914007123 0.901961957003562 0.967320652334521
10 NA NA NA NA
11 NA NA NA NA
12 NA NA NA NA
13 NA NA NA NA
14 NA NA NA NA
15 NA NA NA NA
16 NA NA NA NA
17 NA NA NA NA
18 NA NA NA NA
19 0.477966660066048 0.495527414620401 0.492334550155973 0.506702440245898
20 NA NA NA NA
21 NA NA NA NA
22 0.883838669002533 0.883838669002533 0.883838669002533 0.888889161654597
23 0.852941888878599 0.852941888878599 0.852941888878599 0.869281679003199
24 NA NA NA NA
25 NA NA NA NA
26 NA NA NA NA
27 NA NA NA NA
28 NA NA NA NA
29 NA NA NA NA
30 NA NA NA NA
31 NA NA NA NA
32 NA NA NA NA
33 NA NA NA NA
34 NA NA NA NA
35 0.984966627067567 0.990774975700553 0.990774975700553 0.990774975700553
36 NA NA NA NA
37 NA NA NA NA
38 NA NA NA NA
39 NA NA NA NA
40 NA NA NA NA
41 NA NA NA NA
42 NA NA NA NA
43 NA NA NA NA
44 NA NA NA NA
45 NA NA NA NA
46 NA NA NA NA
47 NA NA NA NA
48 NA NA NA NA
49 NA NA NA NA
50 0.527271044145309 0.563183786528069 0.561229351568463 0.660416925768465
51 NA NA NA NA
52 NA NA NA NA
53 NA NA NA NA
54 NA NA NA NA
55 NA NA NA NA
56 NA NA NA NA
57 NA NA NA NA
58 0.631572970614862 0.832003927910163 0.683967785177534 0.862775485669192
59 NA NA NA NA
60 NA NA NA NA
61 NA NA NA NA
62 NA NA NA NA
63 NA NA NA NA
64 NA NA NA NA
65 NA NA NA NA
66 NA NA NA NA
67 NA NA NA NA
68 NA NA NA NA
69 NA NA NA NA
70 0.619622389043576 0.619622389043576 0.61461742047836 0.619622389043576
71 NA NA NA NA
72 NA NA NA NA
73 NA NA NA NA
74 NA NA NA NA
75 NA NA NA NA
76 0.477577663936655 0.475628326861792 0.479527001011518 0.508767057134467
77 0.454193695231592 0.454193695231592 0.454193695231592 0.454193695231592
78 NA NA NA NA
79 0.759204325895703 0.778090261119569 0.784910182172632 0.785434791484406
80 NA NA NA NA
81 NA NA NA NA
82 0.569444444444444 0.607638888888889 0.614583333333333 0.642361111111111
83 NA NA NA NA
84 NA NA NA NA
85 0.543215303021903 0.518524238320385 0.518524238320385 0.580251900074181
86 NA NA NA NA
87 NA NA NA NA
88 NA NA NA NA
89 NA NA NA NA
90 0.830969913696816 0.831175546405214 0.831792444530408 0.849065592035843
91 NA NA NA NA
92 NA NA NA NA
93 NA NA NA NA
94 NA NA NA NA
95 NA NA NA NA
96 0.675931042831128 0.728840260328087 0.705692477673167 0.712306129860287
97 NA NA NA NA
98 NA NA NA NA
99 NA NA NA NA
100 NA NA NA NA
101 NA NA NA NA
102 NA NA NA NA
