"ids" "roc" "nef10"
1 NA NA
2 NA NA
3 0.640233407030404 0.590637451690622
4 NA NA
5 NA NA
6 0.761248852690222 0.687496503789892
7 NA NA
8 NA NA
9 0.971936939676362 0.967320652334521
10 NA NA
11 NA NA
12 NA NA
13 0.984409543944428 0.977777724539422
14 0.720592585149737 0.677824344667144
15 NA NA
16 NA NA
17 NA NA
18 NA NA
19 0.740251369642282 0.506702440245898
20 NA NA
21 0.819154822285618 0.766273466997878
22 0.908194120335601 0.888889161654597
23 0.87760732810948 0.869281679003199
24 NA NA
25 NA NA
26 NA NA
27 NA NA
28 NA NA
29 NA NA
30 NA NA
31 NA NA
32 NA NA
33 NA NA
34 NA NA
35 0.995943971920522 0.990774975700553
36 NA NA
37 NA NA
38 NA NA
39 NA NA
40 NA NA
41 NA NA
42 NA NA
43 NA NA
44 NA NA
45 NA NA
46 0.824630869371708 0.724040791884354
47 NA NA
48 NA NA
49 NA NA
50 0.767290837608205 0.660416925768465
51 NA NA
52 NA NA
53 NA NA
54 NA NA
55 NA NA
56 0.960856346361821 0.952991920971015
57 NA NA
58 0.88159781023554 0.862775485669192
59 NA NA
60 NA NA
61 0.865028136350671 0.830917874396135
62 NA NA
63 NA NA
64 NA NA
65 NA NA
66 NA NA
67 NA NA
68 0.695829057944021 0.638552427088895
69 NA NA
70 0.634454113861628 0.619622389043576
71 NA NA
72 NA NA
73 NA NA
74 NA NA
75 NA NA
76 0.553286345848224 0.508767057134467
77 0.456660825781628 0.454193695231592
78 NA NA
79 0.803337025977322 0.785434791484406
80 NA NA
81 NA NA
82 0.72069141313933 0.642361111111111
83 NA NA
84 0.512620116988414 0.50411927816985
85 0.760892313546423 0.580251900074181
86 NA NA
87 0.716242314436381 0.662748159261889
88 NA NA
89 NA NA
90 0.868232562053497 0.849065592035843
91 0.881159605420669 0.817290936507819
92 NA NA
93 NA NA
94 NA NA
95 NA NA
96 0.723902811831532 0.712306129860287
97 NA NA
98 0.521979806753347 0.529409511308534
99 0.693316026560383 0.671720349442199
100 NA NA
101 NA NA
102 NA NA
