"ids" "roc" "nef10"
1 NA NA
2 NA NA
3 NA NA
4 NA NA
5 NA NA
6 NA NA
7 NA NA
8 NA NA
9 0.782581758472321 0.771244566341644
10 NA NA
11 NA NA
12 NA NA
13 NA NA
14 NA NA
15 NA NA
16 NA NA
17 NA NA
18 NA NA
19 0.621589221452358 0.551402542747888
20 NA NA
21 NA NA
22 0.904105415967833 0.883838669002533
23 0.866603100946299 0.852941888878599
24 NA NA
25 NA NA
26 NA NA
27 NA NA
28 NA NA
29 NA NA
30 NA NA
31 NA NA
32 NA NA
33 NA NA
34 NA NA
35 0.99575828734426 0.990774975700553
36 NA NA
37 NA NA
38 NA NA
39 NA NA
40 NA NA
41 NA NA
42 NA NA
43 NA NA
44 NA NA
45 NA NA
46 NA NA
47 NA NA
48 NA NA
49 NA NA
50 0.758526720038391 0.649911837860583
51 NA NA
52 NA NA
53 NA NA
54 NA NA
55 NA NA
56 NA NA
57 NA NA
58 0.867477652342576 0.848637202374503
59 NA NA
60 NA NA
61 NA NA
62 NA NA
63 NA NA
64 NA NA
65 NA NA
66 NA NA
67 NA NA
68 NA NA
69 NA NA
70 0.623130914677157 0.624627357608792
71 NA NA
72 NA NA
73 NA NA
74 NA NA
75 NA NA
76 0.517717678666917 0.495121697610424
77 0.660582122265338 0.493179859857907
78 NA NA
79 0.795446110380329 0.767073465572314
80 NA NA
81 NA NA
82 0.618169091710758 0.541666666666667
83 NA NA
84 NA NA
85 0.698528824200913 0.567906367723422
86 NA NA
87 NA NA
88 NA NA
89 NA NA
90 0.871032620206276 0.837961425782349
91 NA NA
92 NA NA
93 NA NA
94 NA NA
95 NA NA
96 0.717992077317548 0.705692477673167
97 NA NA
98 NA NA
99 NA NA
100 NA NA
101 NA NA
102 NA NA
