"ids" "nef_50" "nef_100" "nef_200" "nef_1000"
1 NA NA NA NA
2 NA NA NA NA
3 NA NA NA NA
4 NA NA NA NA
5 NA NA NA NA
6 NA NA NA NA
7 NA NA NA NA
8 NA NA NA NA
9 0.752944131648975 0.756865653368833 0.756865653368833 0.898040435283704
10 NA NA NA NA
11 NA NA NA NA
12 NA NA NA NA
13 NA NA NA NA
14 NA NA NA NA
15 NA NA NA NA
16 NA NA NA NA
17 NA NA NA NA
18 NA NA NA NA
19 0.507724156874515 0.511619451521117 0.520176328285784 0.533905645482824
20 NA NA NA NA
21 NA NA NA NA
22 0.85515187073881 0.846667043083343 0.856161969269223 0.878182117232221
23 0.840523648383902 0.862745762953358 0.856209846903519 0.870588862213167
24 NA NA NA NA
25 NA NA NA NA
26 NA NA NA NA
27 NA NA NA NA
28 NA NA NA NA
29 NA NA NA NA
30 NA NA NA NA
31 NA NA NA NA
32 NA NA NA NA
33 NA NA NA NA
34 NA NA NA NA
35 0.978980611299926 0.978748277354607 0.99081597580855 0.991061976456535
36 NA NA NA NA
37 NA NA NA NA
38 NA NA NA NA
39 NA NA NA NA
40 NA NA NA NA
41 NA NA NA NA
42 NA NA NA NA
43 NA NA NA NA
44 NA NA NA NA
45 NA NA NA NA
46 NA NA NA NA
47 NA NA NA NA
48 NA NA NA NA
49 NA NA NA NA
50 0.584633710209744 0.612318281412562 0.645827068795007 0.652716452027618
51 NA NA NA NA
52 NA NA NA NA
53 NA NA NA NA
54 NA NA NA NA
55 NA NA NA NA
56 NA NA NA NA
57 NA NA NA NA
58 0.671293230035707 0.716702069323356 0.771658408153536 0.851764257973799
59 NA NA NA NA
60 NA NA NA NA
61 NA NA NA NA
62 NA NA NA NA
63 NA NA NA NA
64 NA NA NA NA
65 NA NA NA NA
66 NA NA NA NA
67 NA NA NA NA
68 NA NA NA NA
69 NA NA NA NA
70 0.597400328614016 0.608411259457492 0.614217022993143 0.616819606647055
71 NA NA NA NA
72 NA NA NA NA
73 NA NA NA NA
74 NA NA NA NA
75 NA NA NA NA
76 0.522724310590487 0.511184235107297 0.506661773093614 0.501749443664959
77 0.469398299435855 0.471737469313434 0.46510982132696 0.477585394007381
78 NA NA NA NA
79 0.662718181274216 0.696817786539531 0.748712139660222 0.78115397950033
80 NA NA NA NA
81 NA NA NA NA
82 0.616805555555556 0.598194444444444 0.6125 0.653472222222222
83 NA NA NA NA
84 NA NA NA NA
85 0.516055131850233 0.515067489262172 0.514573667968142 0.528400664200992
86 NA NA NA NA
87 NA NA NA NA
88 NA NA NA NA
89 NA NA NA NA
90 0.848465144527321 0.851179496278175 0.86881455735039 0.858500020697145
91 NA NA NA NA
92 NA NA NA NA
93 NA NA NA NA
94 NA NA NA NA
95 NA NA NA NA
96 0.667597841075357 0.624609101859078 0.642069143633074 0.664687834113024
97 NA NA NA NA
98 NA NA NA NA
99 NA NA NA NA
100 NA NA NA NA
101 NA NA NA NA
102 NA NA NA NA
