"ids" "roc_50" "roc_100" "roc_200" "roc_1000" "roc_500"
1 NA NA NA NA NA
2 NA NA NA NA NA
3 0.741601663512396 0.725762076719595 0.717934935244151 0.709710760356822 0.708487757698061
4 NA NA NA NA NA
5 NA NA NA NA NA
6 0.659513822884153 0.658448978694418 0.659031170847618 0.669310553171212 0.661518369748759
7 NA NA NA NA NA
8 NA NA NA NA NA
9 0.729714725900699 0.790069126642645 0.835622469199621 0.927888495279218 0.912499911311125
10 NA NA NA NA NA
11 NA NA NA NA NA
12 NA NA NA NA NA
13 0.924340199335548 0.940936445614186 0.949108478232731 0.956798308668076 0.955191060102688
14 0.547941377957752 0.5621926873545 0.559715570788198 0.641550855772186 0.61864414101478
15 NA NA NA NA NA
16 NA NA NA NA NA
17 NA NA NA NA NA
18 NA NA NA NA NA
19 0.670823857288645 0.654973328230745 0.589572530615533 0.711614245622516 0.624429566817059
20 NA NA NA NA NA
21 0.675650053496677 0.670701011790572 0.677434112037799 0.739044773027537 0.678698019061933
22 0.790131079347885 0.792379735876181 0.807957991467017 0.865600343091163 0.864184334989057
23 0.810510698803715 0.82056097817634 0.824635917284144 0.832973951743095 0.819564437931026
24 NA NA NA NA NA
25 NA NA NA NA NA
26 NA NA NA NA NA
27 NA NA NA NA NA
28 NA NA NA NA NA
29 NA NA NA NA NA
30 NA NA NA NA NA
31 NA NA NA NA NA
32 NA NA NA NA NA
33 NA NA NA NA NA
34 NA NA NA NA NA
35 0.966322840914246 0.983815346923268 0.988277265246809 0.9958070561887 0.995691023064218
36 NA NA NA NA NA
37 NA NA NA NA NA
38 NA NA NA NA NA
39 NA NA NA NA NA
40 NA NA NA NA NA
41 NA NA NA NA NA
42 NA NA NA NA NA
43 NA NA NA NA NA
44 NA NA NA NA NA
45 NA NA NA NA NA
46 0.704820132712032 0.734729502296161 0.808373763916893 0.841640666324996 0.83336171025214
47 NA NA NA NA NA
48 NA NA NA NA NA
49 NA NA NA NA NA
50 0.584920088194661 0.651241951060131 0.647526086429974 0.74614754085342 0.707507763688452
51 NA NA NA NA NA
52 NA NA NA NA NA
53 NA NA NA NA NA
54 NA NA NA NA NA
55 NA NA NA NA NA
56 0.786105724169486 0.783233018828684 0.704427052714769 0.797101271768066 0.779739781487438
57 NA NA NA NA NA
58 0.698199745187544 0.72179723364157 0.769204777492896 0.855216857363468 0.825908244826228
59 NA NA NA NA NA
60 NA NA NA NA NA
61 0.643439875065893 0.648767436707033 0.687424432285912 0.824535069286483 0.762067662411632
62 NA NA NA NA NA
63 NA NA NA NA NA
64 NA NA NA NA NA
65 NA NA NA NA NA
66 NA NA NA NA NA
67 NA NA NA NA NA
68 0.483291352708523 0.490482882529112 0.517734590107276 0.588641342017248 0.577313205943542
69 NA NA NA NA NA
70 0.577572084696362 0.573570295203243 0.554012496469144 0.585479723023076 0.498245180282753
71 NA NA NA NA NA
72 0.778297976947974 0.779725386416558 0.776424955515341 0.771191877522869 0.791159342643221
73 NA NA NA NA NA
74 NA NA NA NA NA
75 NA NA NA NA NA
76 0.472077348871831 0.49471970688384 0.511179200668953 0.56764558731795 0.551893661063555
77 0.841044250005301 0.843748213518083 0.847109548401274 0.734806716825026 0.847764097641092
78 NA NA NA NA NA
79 0.608346232535739 0.638321872358613 0.655539467685317 0.800283077654252 0.779716808271701
80 NA NA NA NA NA
81 NA NA NA NA NA
82 0.637566655643739 0.625174063051146 0.625585653659612 0.544351581790123 0.607871808862434
83 NA NA NA NA NA
84 0.75684062147157 0.74305576192246 0.664587139099795 0.50469161687881 0.554238333677059
85 0.651238165905632 0.649483219178082 0.589026617199391 0.640101959665145 0.58804893455099
86 NA NA NA NA NA
87 0.596076743816707 0.599244850955976 0.61577304599508 0.725623032868445 0.696796966288857
88 NA NA NA NA NA
89 NA NA NA NA NA
90 0.787433216863224 0.840304716118585 0.874136800197182 0.890540107032506 0.883335824216523
91 0.696110639032005 0.710810697157595 0.713357302644783 0.722677520400591 0.717294276849247
92 NA NA NA NA NA
93 NA NA NA NA NA
94 NA NA NA NA NA
95 NA NA NA NA NA
96 0.59192105671123 0.583942965797565 0.613011812629784 0.6937440318104 0.670643694151276
97 NA NA NA NA NA
98 0.69971642088608 0.694306205404252 0.659735448405125 0.524741753239085 0.555208519208473
99 0.528590465361362 0.556583183442549 0.563579530597529 0.66636888584265 0.620875751765014
100 NA NA NA NA NA
101 NA NA NA NA NA
102 NA NA NA NA NA
